#pseudo-Leiden file converted from a specific SWRI (PhIDRates) branch column
#reaction: C2H4 -> C2H2 + H + H (SWRI col 'C2H2/2H', native matcher can't expand '2H' shorthand into two H entries)
#source: C2H4.txt, column 5 (0-indexed incl. Lambda), verified by hand against the raw header
#this branch's own cross section used for both photoabsorption and photodissociation
#wavelength(nm) photoabsorption(cm2) photodissociation(cm2) photoionization(cm2)
0.100000 6.620000e-27 6.620000e-27 0.000000e+00
1.000000 7.610000e-23 7.610000e-23 0.000000e+00
4.100000 8.820000e-22 8.820000e-22 0.000000e+00
4.300000 6.190000e-22 6.190000e-22 0.000000e+00
5.000000 1.160000e-21 1.160000e-21 0.000000e+00
10.000000 1.130000e-20 1.130000e-20 0.000000e+00
18.000000 1.340000e-19 1.340000e-19 0.000000e+00
20.000000 1.650000e-19 1.650000e-19 0.000000e+00
25.000000 3.100000e-19 3.100000e-19 0.000000e+00
30.000000 5.960000e-19 5.960000e-19 0.000000e+00
35.000000 1.010000e-18 1.010000e-18 0.000000e+00
40.000000 1.620000e-18 1.620000e-18 0.000000e+00
45.000000 2.380000e-18 2.380000e-18 0.000000e+00
50.000000 3.140000e-18 3.140000e-18 0.000000e+00
55.000000 3.750000e-18 3.750000e-18 0.000000e+00
56.400000 3.590000e-18 3.590000e-18 0.000000e+00
62.000000 3.540000e-18 3.540000e-18 0.000000e+00
68.900000 2.910000e-18 2.910000e-18 0.000000e+00
70.600000 2.620000e-18 2.620000e-18 0.000000e+00
77.500000 4.910000e-18 4.910000e-18 0.000000e+00
83.800000 1.040000e-17 1.040000e-17 0.000000e+00
88.200000 8.310000e-18 8.310000e-18 0.000000e+00
88.600000 8.540000e-18 8.540000e-18 0.000000e+00
89.800000 9.050000e-18 9.050000e-18 0.000000e+00
91.800000 1.010000e-17 1.010000e-17 0.000000e+00
94.500000 1.190000e-17 1.190000e-17 0.000000e+00
96.400000 1.310000e-17 1.310000e-17 0.000000e+00
101.600000 3.140000e-17 3.140000e-17 0.000000e+00
103.300000 3.190000e-17 3.190000e-17 0.000000e+00
106.500000 1.260000e-17 1.260000e-17 0.000000e+00
106.600000 1.270000e-17 1.270000e-17 0.000000e+00
108.500000 1.030000e-17 1.030000e-17 0.000000e+00
109.600000 9.150000e-18 9.150000e-18 0.000000e+00
110.500000 1.020000e-17 1.020000e-17 0.000000e+00
111.500000 1.020000e-17 1.020000e-17 0.000000e+00
112.300000 9.720000e-18 9.720000e-18 0.000000e+00
112.700000 7.450000e-18 7.450000e-18 0.000000e+00
114.900000 8.490000e-18 8.490000e-18 0.000000e+00
115.000000 9.090000e-18 9.090000e-18 0.000000e+00
117.800000 1.160000e-17 1.160000e-17 0.000000e+00
118.000000 9.160000e-18 9.160000e-18 0.000000e+00
118.600000 1.020000e-17 1.020000e-17 0.000000e+00
119.100000 9.600000e-18 9.600000e-18 0.000000e+00
120.100000 1.080000e-17 1.080000e-17 0.000000e+00
120.300000 1.000000e-17 1.000000e-17 0.000000e+00
120.800000 1.210000e-17 1.210000e-17 0.000000e+00
121.300000 1.030000e-17 1.030000e-17 0.000000e+00
122.200000 1.380000e-17 1.380000e-17 0.000000e+00
122.400000 1.360000e-17 1.360000e-17 0.000000e+00
122.600000 1.430000e-17 1.430000e-17 0.000000e+00
122.800000 1.490000e-17 1.490000e-17 0.000000e+00
123.100000 1.170000e-17 1.170000e-17 0.000000e+00
124.100000 1.490000e-17 1.490000e-17 0.000000e+00
124.400000 1.330000e-17 1.330000e-17 0.000000e+00
124.800000 1.710000e-17 1.710000e-17 0.000000e+00
125.100000 1.290000e-17 1.290000e-17 0.000000e+00
125.400000 1.240000e-17 1.240000e-17 0.000000e+00
125.600000 1.320000e-17 1.320000e-17 0.000000e+00
126.300000 1.330000e-17 1.330000e-17 0.000000e+00
126.400000 1.370000e-17 1.370000e-17 0.000000e+00
