#pseudo-Leiden file converted from a specific SWRI (PhIDRates) branch column
#reaction: C2H6 -> CH4 + CH2_SING (SWRI col '1CH2/CH4', native matcher only strips '1D'/'1S'/'3P' suffixes, not '1CH2' prefix)
#source: C2H6.txt, column 4 (0-indexed incl. Lambda), verified by hand against the raw header
#this branch's own cross section used for both photoabsorption and photodissociation
#wavelength(nm) photoabsorption(cm2) photodissociation(cm2) photoionization(cm2)
0.060000 1.200000e-29 1.200000e-29 0.000000e+00
0.120000 7.770000e-27 7.770000e-27 0.000000e+00
0.240000 1.870000e-25 1.870000e-25 0.000000e+00
0.620000 9.260000e-24 9.260000e-24 0.000000e+00
1.260000 1.630000e-22 1.630000e-22 0.000000e+00
2.460000 2.080000e-21 2.080000e-21 0.000000e+00
4.080000 1.340000e-20 1.340000e-20 0.000000e+00
4.250000 5.730000e-22 5.730000e-22 0.000000e+00
6.210000 2.890000e-21 2.890000e-21 0.000000e+00
12.170000 2.020000e-20 2.020000e-20 0.000000e+00
24.860000 1.810000e-19 1.810000e-19 0.000000e+00
35.400000 5.360000e-19 5.360000e-19 0.000000e+00
36.500000 6.080000e-19 6.080000e-19 0.000000e+00
37.600000 6.840000e-19 6.840000e-19 0.000000e+00
38.700000 7.620000e-19 7.620000e-19 0.000000e+00
40.000000 8.480000e-19 8.480000e-19 0.000000e+00
41.300000 9.390000e-19 9.390000e-19 0.000000e+00
42.800000 1.170000e-18 1.170000e-18 0.000000e+00
44.200000 1.340000e-18 1.340000e-18 0.000000e+00
45.900000 1.740000e-18 1.740000e-18 0.000000e+00
47.700000 2.170000e-18 2.170000e-18 0.000000e+00
49.600000 2.630000e-18 2.630000e-18 0.000000e+00
51.700000 2.980000e-18 2.980000e-18 0.000000e+00
53.900000 3.430000e-18 3.430000e-18 0.000000e+00
56.400000 4.020000e-18 4.020000e-18 0.000000e+00
59.000000 4.650000e-18 4.650000e-18 0.000000e+00
62.000000 5.170000e-18 5.170000e-18 0.000000e+00
65.300000 6.140000e-18 6.140000e-18 0.000000e+00
68.900000 7.000000e-18 7.000000e-18 0.000000e+00
72.900000 7.960000e-18 7.960000e-18 0.000000e+00
77.500000 8.930000e-18 8.930000e-18 0.000000e+00
82.700000 9.410000e-18 9.410000e-18 0.000000e+00
88.600000 9.940000e-18 9.940000e-18 0.000000e+00
95.400000 9.400000e-18 9.400000e-18 0.000000e+00
103.300000 8.300000e-18 8.300000e-18 0.000000e+00
106.400000 8.250000e-18 8.250000e-18 0.000000e+00
112.700000 8.390000e-18 8.390000e-18 0.000000e+00
116.000000 7.280000e-18 7.280000e-18 0.000000e+00
118.000000 7.010000e-18 7.010000e-18 0.000000e+00
120.000000 5.860000e-18 5.860000e-18 0.000000e+00
122.000000 5.600000e-18 5.600000e-18 0.000000e+00
124.000000 5.810000e-18 5.810000e-18 0.000000e+00
126.000000 5.530000e-18 5.530000e-18 0.000000e+00
128.000000 5.240000e-18 5.240000e-18 0.000000e+00
130.000000 4.330000e-18 4.330000e-18 0.000000e+00
132.000000 3.180000e-18 3.180000e-18 0.000000e+00
134.000000 2.180000e-18 2.180000e-18 0.000000e+00
136.000000 1.430000e-18 1.430000e-18 0.000000e+00
138.000000 1.080000e-18 1.080000e-18 0.000000e+00
139.600000 6.040000e-19 6.040000e-19 0.000000e+00
140.000000 7.340000e-19 7.340000e-19 0.000000e+00
140.900000 4.950000e-19 4.950000e-19 0.000000e+00
141.700000 2.600000e-19 2.600000e-19 0.000000e+00
142.000000 4.780000e-19 4.780000e-19 0.000000e+00
142.700000 2.050000e-19 2.050000e-19 0.000000e+00
144.000000 1.370000e-19 1.370000e-19 0.000000e+00
145.000000 9.720000e-20 9.720000e-20 0.000000e+00
146.000000 6.050000e-20 6.050000e-20 0.000000e+00
147.000000 3.600000e-20 3.600000e-20 0.000000e+00
148.000000 2.980000e-20 2.980000e-20 0.000000e+00
149.000000 2.360000e-20 2.360000e-20 0.000000e+00
150.000000 1.800000e-20 1.800000e-20 0.000000e+00
151.000000 1.260000e-20 1.260000e-20 0.000000e+00
152.000000 8.260000e-21 8.260000e-21 0.000000e+00
153.000000 4.950000e-21 4.950000e-21 0.000000e+00
154.000000 2.270000e-21 2.270000e-21 0.000000e+00
155.000000 1.310000e-21 1.310000e-21 0.000000e+00
156.000000 5.200000e-22 5.200000e-22 0.000000e+00
157.000000 2.210000e-22 2.210000e-22 0.000000e+00
158.000000 8.760000e-23 8.760000e-23 0.000000e+00
159.000000 3.800000e-23 3.800000e-23 0.000000e+00
160.000000 1.970000e-23 1.970000e-23 0.000000e+00
272.600000 0.000000e+00 0.000000e+00 0.000000e+00
290.000000 0.000000e+00 0.000000e+00 0.000000e+00
322.000000 0.000000e+00 0.000000e+00 0.000000e+00
715.000000 0.000000e+00 0.000000e+00 0.000000e+00
