# [b'Cross sections for C2\nConverted from earlier Leiden database cross sections by Helgi Rafn Hr\xc3\xb3\xc3\xb0marsson 2022-11-16\nPhotodissociation source: C2 P.D. POUILLY ET AL.83 +GUESS\nPhotoionisation source: C2 P.I. CF. Harper et al. (2020), Toffoli & Lucchese (2004)\nLines represented with gaussian of width 1.0 nm FWHM\nwavelength: (nm)\nphotoabsorption:    cross section (cm2)\nphotodissociation:  cross section (cm2)\nphotoionisation:    cross section (cm2)']
# 
# wavelength   photoabsorption photodissociation   photoionisation
  91.2000000       5.19406e-17       1.00000e-19       5.18406e-17
  91.9000000       6.51408e-17       1.00000e-19       6.50408e-17
  92.0000000       7.42161e-17       1.00000e-19       7.41161e-17
  92.1000000       7.29840e-17       1.00000e-19       7.28840e-17
  92.2000000       5.93875e-17       1.00000e-19       5.92875e-17
  92.3000000       4.80162e-17       1.00000e-19       4.79162e-17
  92.4000000       4.58570e-17       1.00001e-19       4.57570e-17
  92.5000000       4.65354e-17       1.00002e-19       4.64354e-17
  92.5300000       4.64188e-17       1.00003e-19       4.63188e-17
  92.6000000       4.59276e-17       1.16675e-19       4.58109e-17
  92.7000000       4.52030e-17       1.40508e-19       4.50625e-17
  92.8000000       4.53724e-17       1.64397e-19       4.52080e-17
  92.9000000       4.75033e-17       1.88463e-19       4.73148e-17
  93.0000000       5.03252e-17       2.13052e-19       5.01121e-17
  93.1000000       5.02513e-17       2.39096e-19       5.00122e-17
  93.2000000       4.99504e-17       2.68956e-19       4.96814e-17
  93.3000000       4.71463e-17       3.08225e-19       4.68381e-17
  93.4000000       4.55428e-17       3.69288e-19       4.51735e-17
  93.5000000       4.85743e-17       4.77739e-19       4.80966e-17
  93.6000000       5.10625e-17       6.82769e-19       5.03797e-17
  93.7000000       5.24966e-17       1.07199e-18       5.14246e-17
  93.8000000       5.18145e-17       1.78922e-18       5.00253e-17
  93.9000000       5.38210e-17       3.05024e-18       5.07708e-17
  94.0000000       5.57830e-17       5.14719e-18       5.06358e-17
  94.0000000       5.57830e-17       5.14719e-18       5.06358e-17
  94.1000000       5.72788e-17       8.42845e-18       4.88504e-17
  94.2000000       6.07507e-17       1.32421e-17       4.75086e-17
  94.2100000       6.12815e-17       1.38188e-17       4.74627e-17
  94.3000000       6.78386e-17       1.98946e-17       4.79441e-17
  94.4000000       7.73170e-17       2.83635e-17       4.89535e-17
  94.5000000       8.69098e-17       3.83275e-17       4.85823e-17
  94.6000000       9.76388e-17       4.90641e-17       4.85747e-17
  94.7000000       1.12281e-16       5.94805e-17       5.28006e-17
  94.7900000       1.19078e-16       6.75053e-17       5.15730e-17
  94.8000000       1.19710e-16       6.82736e-17       5.14365e-17
  94.9000000       1.29455e-16       7.41879e-17       5.52669e-17
  95.0000000       1.31470e-16       7.63230e-17       5.51467e-17
  95.1000000       1.27709e-16       7.43479e-17       5.33613e-17
  95.2000000       1.19133e-16       6.85936e-17       5.05396e-17
  95.3000000       1.07462e-16       5.99661e-17       4.74958e-17
  95.4000000       9.60850e-17       4.97159e-17       4.63691e-17
  95.5000000       8.68919e-17       3.91455e-17       4.77464e-17
  95.6000000       7.96279e-17       2.93477e-17       5.02802e-17
  95.7000000       7.37031e-17       2.10450e-17       5.26581e-17
  95.8000000       6.10735e-17       1.45524e-17       4.65210e-17
  95.9000000       5.74420e-17       9.84264e-18       4.75993e-17
  96.0000000       5.29370e-17       6.66519e-18       4.62718e-17
  96.0000000       5.29370e-17       6.66519e-18       4.62718e-17
  96.0400000       5.23345e-17       5.74612e-18       4.65884e-17
  96.1000000       5.36443e-17       4.70405e-18       4.89402e-17
  96.2000000       5.20985e-17       3.60017e-18       4.84983e-17
  96.3000000       4.89432e-17       3.04008e-18       4.59031e-17
  96.4000000       4.65491e-17       2.80801e-18       4.37410e-17
  96.5000000       4.60381e-17       2.76012e-18       4.32779e-17
  96.6000000       4.86229e-17       2.80881e-18       4.58141e-17
  96.7000000       4.69710e-17       2.90489e-18       4.40662e-17
  96.7900000       4.50750e-17       3.01042e-18       4.20646e-17
  96.8000000       4.48623e-17       3.02134e-18       4.18410e-17
  96.9000000       4.66023e-17       3.13433e-18       4.34679e-17
  97.0000000       4.73884e-17       3.25115e-18       4.41372e-17
  97.1000000       4.76103e-17       3.36942e-18       4.42409e-17
  97.2000000       4.65447e-17       3.48821e-18       4.30565e-17
  97.3000000       4.41671e-17       3.60717e-18       4.05600e-17
  97.4000000       4.40703e-17       3.72620e-18       4.03441e-17
  97.5000000       3.97729e-17       3.84524e-18       3.59277e-17
