#pseudo-Leiden file converted from MPI-Mainz UV/VIS Spectral Atlas data
#reaction: C4H2 -> C2H2 + C2
#source: Ferradaz et al. (2009), 293K, 115-225nm
#https://www.uv-vis-spectral-atlas-mainz.org/uvvis/
#total absorption cross section used for both photoabsorption and
#photodissociation columns (single dissociation channel; no photoionization data)
#wavelength(nm) photoabsorption(cm2) photodissociation(cm2) photoionization(cm2)
115.080000 4.960000e-17 4.960000e-17 0.000000e+00
116.040000 4.960000e-17 4.960000e-17 0.000000e+00
117.000000 4.900000e-17 4.900000e-17 0.000000e+00
118.050000 4.840000e-17 4.840000e-17 0.000000e+00
118.650000 5.140000e-17 5.140000e-17 0.000000e+00
118.920000 4.670000e-17 4.670000e-17 0.000000e+00
119.150000 4.840000e-17 4.840000e-17 0.000000e+00
119.650000 4.580000e-17 4.580000e-17 0.000000e+00
119.840000 4.890000e-17 4.890000e-17 0.000000e+00
120.110000 4.670000e-17 4.670000e-17 0.000000e+00
120.520000 5.020000e-17 5.020000e-17 0.000000e+00
120.710000 4.270000e-17 4.270000e-17 0.000000e+00
121.060000 5.000000e-17 5.000000e-17 0.000000e+00
121.300000 4.280000e-17 4.280000e-17 0.000000e+00
121.610000 5.230000e-17 5.230000e-17 0.000000e+00
121.770000 7.010000e-17 7.010000e-17 0.000000e+00
121.920000 4.850000e-17 4.850000e-17 0.000000e+00
121.930000 4.810000e-17 4.810000e-17 0.000000e+00
122.190000 4.330000e-17 4.330000e-17 0.000000e+00
122.300000 5.020000e-17 5.020000e-17 0.000000e+00
122.490000 4.530000e-17 4.530000e-17 0.000000e+00
122.760000 4.080000e-17 4.080000e-17 0.000000e+00
122.770000 4.090000e-17 4.090000e-17 0.000000e+00
122.960000 5.030000e-17 5.030000e-17 0.000000e+00
123.070000 6.210000e-17 6.210000e-17 0.000000e+00
123.170000 5.020000e-17 5.020000e-17 0.000000e+00
123.310000 4.480000e-17 4.480000e-17 0.000000e+00
123.610000 3.800000e-17 3.800000e-17 0.000000e+00
123.770000 5.110000e-17 5.110000e-17 0.000000e+00
124.150000 4.050000e-17 4.050000e-17 0.000000e+00
124.180000 3.980000e-17 3.980000e-17 0.000000e+00
124.310000 6.400000e-17 6.400000e-17 0.000000e+00
124.550000 4.460000e-17 4.460000e-17 0.000000e+00
124.570000 5.920000e-17 5.920000e-17 0.000000e+00
124.830000 5.270000e-17 5.270000e-17 0.000000e+00
124.940000 8.240000e-17 8.240000e-17 0.000000e+00
125.030000 1.380000e-16 1.380000e-16 0.000000e+00
125.190000 9.830000e-17 9.830000e-17 0.000000e+00
125.290000 7.110000e-17 7.110000e-17 0.000000e+00
125.440000 4.410000e-17 4.410000e-17 0.000000e+00
125.660000 7.010000e-17 7.010000e-17 0.000000e+00
125.870000 4.990000e-17 4.990000e-17 0.000000e+00
126.050000 4.380000e-17 4.380000e-17 0.000000e+00
126.300000 5.780000e-17 5.780000e-17 0.000000e+00
126.420000 1.070000e-16 1.070000e-16 0.000000e+00
126.640000 5.960000e-17 5.960000e-17 0.000000e+00
126.810000 7.220000e-17 7.220000e-17 0.000000e+00
127.020000 5.530000e-17 5.530000e-17 0.000000e+00
127.160000 7.220000e-17 7.220000e-17 0.000000e+00
127.380000 8.650000e-17 8.650000e-17 0.000000e+00
127.620000 6.980000e-17 6.980000e-17 0.000000e+00
127.950000 9.970000e-17 9.970000e-17 0.000000e+00
128.000000 1.290000e-16 1.290000e-16 0.000000e+00
128.190000 1.950000e-16 1.950000e-16 0.000000e+00
128.320000 1.240000e-16 1.240000e-16 0.000000e+00
