#pseudo-Leiden file converted from a specific SWRI (PhIDRates) branch column
#reaction: CH3SH -> CH3S + H (SWRI col 'MS/H', file-specific 'M'=CH3SH-minus-fragment shorthand, not species-name based)
#source: CH3SH.txt, column 2 (0-indexed incl. Lambda), verified by hand against the raw header
#this branch's own cross section used for both photoabsorption and photodissociation
#wavelength(nm) photoabsorption(cm2) photodissociation(cm2) photoionization(cm2)
0.060000 8.250000e-23 8.250000e-23 0.000000e+00
0.120000 6.750000e-22 6.750000e-22 0.000000e+00
0.240000 4.750000e-21 4.750000e-21 0.000000e+00
0.500000 3.010000e-20 3.010000e-20 0.000000e+00
0.520000 3.760000e-20 3.760000e-20 0.000000e+00
0.620000 5.520000e-20 5.520000e-20 0.000000e+00
1.260000 3.270000e-20 3.270000e-20 0.000000e+00
2.460000 2.530000e-19 2.530000e-19 0.000000e+00
5.030000 8.970000e-19 8.970000e-19 0.000000e+00
5.250000 8.720000e-19 8.720000e-19 0.000000e+00
6.210000 1.160000e-18 1.160000e-18 0.000000e+00
6.750000 1.370000e-18 1.370000e-18 0.000000e+00
7.050000 6.730000e-19 6.730000e-19 0.000000e+00
7.350000 1.040000e-19 1.040000e-19 0.000000e+00
12.200000 2.920000e-19 2.920000e-19 0.000000e+00
24.900000 7.300000e-19 7.300000e-19 0.000000e+00
36.300000 3.690000e-18 3.690000e-18 0.000000e+00
50.800000 9.390000e-18 9.390000e-18 0.000000e+00
55.300000 1.070000e-17 1.070000e-17 0.000000e+00
110.000000 9.320000e-18 9.320000e-18 0.000000e+00
192.500000 1.060000e-18 1.060000e-18 0.000000e+00
193.000000 1.020000e-18 1.020000e-18 0.000000e+00
193.500000 1.110000e-18 1.110000e-18 0.000000e+00
194.000000 1.240000e-18 1.240000e-18 0.000000e+00
194.500000 1.380000e-18 1.380000e-18 0.000000e+00
195.000000 1.550000e-18 1.550000e-18 0.000000e+00
195.500000 1.740000e-18 1.740000e-18 0.000000e+00
196.000000 1.900000e-18 1.900000e-18 0.000000e+00
196.500000 2.080000e-18 2.080000e-18 0.000000e+00
197.000000 2.300000e-18 2.300000e-18 0.000000e+00
197.500000 2.540000e-18 2.540000e-18 0.000000e+00
198.000000 2.790000e-18 2.790000e-18 0.000000e+00
198.500000 3.050000e-18 3.050000e-18 0.000000e+00
199.000000 3.320000e-18 3.320000e-18 0.000000e+00
199.500000 3.620000e-18 3.620000e-18 0.000000e+00
200.000000 3.900000e-18 3.900000e-18 0.000000e+00
200.500000 4.180000e-18 4.180000e-18 0.000000e+00
201.000000 4.470000e-18 4.470000e-18 0.000000e+00
201.500000 4.730000e-18 4.730000e-18 0.000000e+00
202.000000 4.990000e-18 4.990000e-18 0.000000e+00
202.500000 5.210000e-18 5.210000e-18 0.000000e+00
203.000000 5.400000e-18 5.400000e-18 0.000000e+00
203.500000 5.550000e-18 5.550000e-18 0.000000e+00
204.000000 5.640000e-18 5.640000e-18 0.000000e+00
204.500000 5.680000e-18 5.680000e-18 0.000000e+00
205.000000 5.670000e-18 5.670000e-18 0.000000e+00
205.500000 5.590000e-18 5.590000e-18 0.000000e+00
206.000000 5.450000e-18 5.450000e-18 0.000000e+00
206.500000 5.270000e-18 5.270000e-18 0.000000e+00
207.000000 5.040000e-18 5.040000e-18 0.000000e+00
207.500000 4.750000e-18 4.750000e-18 0.000000e+00
208.000000 4.450000e-18 4.450000e-18 0.000000e+00
208.500000 4.130000e-18 4.130000e-18 0.000000e+00
209.000000 3.760000e-18 3.760000e-18 0.000000e+00
209.500000 3.420000e-18 3.420000e-18 0.000000e+00
210.000000 3.070000e-18 3.070000e-18 0.000000e+00
210.500000 2.740000e-18 2.740000e-18 0.000000e+00
211.000000 2.400000e-18 2.400000e-18 0.000000e+00
211.500000 2.130000e-18 2.130000e-18 0.000000e+00
212.000000 1.860000e-18 1.860000e-18 0.000000e+00
212.500000 1.640000e-18 1.640000e-18 0.000000e+00
213.000000 1.440000e-18 1.440000e-18 0.000000e+00
213.500000 1.270000e-18 1.270000e-18 0.000000e+00
214.000000 1.140000e-18 1.140000e-18 0.000000e+00
214.500000 1.010000e-18 1.010000e-18 0.000000e+00
215.000000 9.230000e-19 9.230000e-19 0.000000e+00
215.500000 8.440000e-19 8.440000e-19 0.000000e+00
216.000000 7.890000e-19 7.890000e-19 0.000000e+00
216.500000 7.440000e-19 7.440000e-19 0.000000e+00
217.000000 7.070000e-19 7.070000e-19 0.000000e+00
217.500000 6.780000e-19 6.780000e-19 0.000000e+00
218.000000 6.590000e-19 6.590000e-19 0.000000e+00
218.500000 6.430000e-19 6.430000e-19 0.000000e+00
219.000000 6.320000e-19 6.320000e-19 0.000000e+00
219.500000 6.240000e-19 6.240000e-19 0.000000e+00
220.000000 6.200000e-19 6.200000e-19 0.000000e+00
220.500000 6.190000e-19 6.190000e-19 0.000000e+00
221.000000 6.180000e-19 6.180000e-19 0.000000e+00
221.500000 6.210000e-19 6.210000e-19 0.000000e+00
222.000000 6.230000e-19 6.230000e-19 0.000000e+00
223.000000 6.230000e-19 6.230000e-19 0.000000e+00
223.500000 6.250000e-19 6.250000e-19 0.000000e+00
224.000000 6.240000e-19 6.240000e-19 0.000000e+00
