#pseudo-Leiden file converted from a specific SWRI (PhIDRates) branch column
#reaction: CH3SH -> CH3 + SH (SWRI col 'M/SH', same file-specific shorthand)
#source: CH3SH.txt, column 3 (0-indexed incl. Lambda), verified by hand against the raw header
#this branch's own cross section used for both photoabsorption and photodissociation
#wavelength(nm) photoabsorption(cm2) photodissociation(cm2) photoionization(cm2)
0.060000 2.480000e-22 2.480000e-22 0.000000e+00
0.120000 2.020000e-21 2.020000e-21 0.000000e+00
0.240000 1.420000e-20 1.420000e-20 0.000000e+00
0.500000 8.990000e-20 8.990000e-20 0.000000e+00
0.520000 1.120000e-19 1.120000e-19 0.000000e+00
0.620000 1.650000e-19 1.650000e-19 0.000000e+00
1.260000 9.730000e-20 9.730000e-20 0.000000e+00
2.460000 7.470000e-19 7.470000e-19 0.000000e+00
5.030000 2.600000e-18 2.600000e-18 0.000000e+00
5.250000 2.530000e-18 2.530000e-18 0.000000e+00
6.210000 3.340000e-18 3.340000e-18 0.000000e+00
6.750000 3.930000e-18 3.930000e-18 0.000000e+00
7.050000 1.930000e-18 1.930000e-18 0.000000e+00
7.350000 2.960000e-19 2.960000e-19 0.000000e+00
12.200000 8.080000e-19 8.080000e-19 0.000000e+00
24.900000 1.870000e-18 1.870000e-18 0.000000e+00
36.300000 8.810000e-18 8.810000e-18 0.000000e+00
50.800000 2.060000e-17 2.060000e-17 0.000000e+00
55.300000 2.280000e-17 2.280000e-17 0.000000e+00
110.000000 1.480000e-17 1.480000e-17 0.000000e+00
192.500000 1.110000e-18 1.110000e-18 0.000000e+00
193.000000 1.070000e-18 1.070000e-18 0.000000e+00
193.500000 1.110000e-18 1.110000e-18 0.000000e+00
194.000000 1.220000e-18 1.220000e-18 0.000000e+00
194.500000 1.310000e-18 1.310000e-18 0.000000e+00
195.000000 1.430000e-18 1.430000e-18 0.000000e+00
195.500000 1.540000e-18 1.540000e-18 0.000000e+00
196.000000 1.640000e-18 1.640000e-18 0.000000e+00
196.500000 1.740000e-18 1.740000e-18 0.000000e+00
197.000000 1.850000e-18 1.850000e-18 0.000000e+00
197.500000 1.990000e-18 1.990000e-18 0.000000e+00
198.000000 2.110000e-18 2.110000e-18 0.000000e+00
198.500000 2.240000e-18 2.240000e-18 0.000000e+00
199.000000 2.350000e-18 2.350000e-18 0.000000e+00
199.500000 2.480000e-18 2.480000e-18 0.000000e+00
200.000000 2.590000e-18 2.590000e-18 0.000000e+00
200.500000 2.680000e-18 2.680000e-18 0.000000e+00
201.000000 2.770000e-18 2.770000e-18 0.000000e+00
201.500000 2.840000e-18 2.840000e-18 0.000000e+00
202.000000 2.900000e-18 2.900000e-18 0.000000e+00
202.500000 2.920000e-18 2.920000e-18 0.000000e+00
203.000000 2.930000e-18 2.930000e-18 0.000000e+00
203.500000 2.910000e-18 2.910000e-18 0.000000e+00
204.000000 2.850000e-18 2.850000e-18 0.000000e+00
204.500000 2.770000e-18 2.770000e-18 0.000000e+00
205.000000 2.660000e-18 2.660000e-18 0.000000e+00
205.500000 2.530000e-18 2.530000e-18 0.000000e+00
206.000000 2.380000e-18 2.380000e-18 0.000000e+00
206.500000 2.210000e-18 2.210000e-18 0.000000e+00
207.000000 2.040000e-18 2.040000e-18 0.000000e+00
207.500000 1.850000e-18 1.850000e-18 0.000000e+00
208.000000 1.670000e-18 1.670000e-18 0.000000e+00
208.500000 1.480000e-18 1.480000e-18 0.000000e+00
209.000000 1.300000e-18 1.300000e-18 0.000000e+00
209.500000 1.130000e-18 1.130000e-18 0.000000e+00
210.000000 9.710000e-19 9.710000e-19 0.000000e+00
210.500000 8.300000e-19 8.300000e-19 0.000000e+00
