# wavelength   photoabsorption photodissociation   photoionization
1.24978418e+03 0.00000000e+00 2.28822564e-16 0.00000000e+00
1.25061755e+03 0.00000000e+00 2.24574426e-16 0.00000000e+00
1.25145166e+03 0.00000000e+00 2.20306877e-16 0.00000000e+00
1.25228613e+03 0.00000000e+00 2.16028617e-16 0.00000000e+00
1.25312134e+03 0.00000000e+00 2.11744623e-16 0.00000000e+00
1.25395691e+03 0.00000000e+00 2.07463655e-16 0.00000000e+00
1.25479309e+03 0.00000000e+00 2.03191369e-16 0.00000000e+00
1.25562988e+03 0.00000000e+00 1.98934703e-16 0.00000000e+00
1.25646729e+03 0.00000000e+00 1.94700626e-16 0.00000000e+00
1.25730518e+03 0.00000000e+00 1.90496747e-16 0.00000000e+00
1.25814355e+03 0.00000000e+00 1.86330077e-16 0.00000000e+00
1.25898254e+03 0.00000000e+00 1.82207055e-16 0.00000000e+00
1.25982214e+03 0.00000000e+00 1.78134765e-16 0.00000000e+00
1.26066235e+03 0.00000000e+00 1.74120322e-16 0.00000000e+00
1.26150305e+03 0.00000000e+00 1.70171439e-16 0.00000000e+00
1.26234436e+03 0.00000000e+00 1.66294704e-16 0.00000000e+00
1.26318616e+03 0.00000000e+00 1.62497862e-16 0.00000000e+00
1.26402844e+03 0.00000000e+00 1.58788110e-16 0.00000000e+00
1.26487146e+03 0.00000000e+00 1.55171632e-16 0.00000000e+00
1.26571484e+03 0.00000000e+00 1.51657268e-16 0.00000000e+00
1.26655896e+03 0.00000000e+00 1.48250791e-16 0.00000000e+00
1.26740356e+03 0.00000000e+00 1.44960535e-16 0.00000000e+00
1.26824878e+03 0.00000000e+00 1.41793379e-16 0.00000000e+00
1.26909448e+03 0.00000000e+00 1.38757163e-16 0.00000000e+00
1.26994092e+03 0.00000000e+00 1.35858451e-16 0.00000000e+00
1.27078772e+03 0.00000000e+00 1.33105936e-16 0.00000000e+00
1.27163525e+03 0.00000000e+00 1.30505898e-16 0.00000000e+00
1.27248315e+03 0.00000000e+00 1.28066954e-16 0.00000000e+00
1.27333179e+03 0.00000000e+00 1.25795576e-16 0.00000000e+00
1.27418091e+03 0.00000000e+00 1.23700008e-16 0.00000000e+00
1.27503064e+03 0.00000000e+00 1.21787531e-16 0.00000000e+00
1.27588086e+03 0.00000000e+00 1.20066030e-16 0.00000000e+00
1.27673169e+03 0.00000000e+00 1.18542898e-16 0.00000000e+00
1.27758325e+03 0.00000000e+00 1.17225673e-16 0.00000000e+00
1.27843506e+03 0.00000000e+00 1.16122761e-16 0.00000000e+00
1.27928772e+03 0.00000000e+00 1.15241100e-16 0.00000000e+00
1.28014075e+03 0.00000000e+00 1.14588997e-16 0.00000000e+00
1.28099451e+03 0.00000000e+00 1.14173959e-16 0.00000000e+00
1.28184875e+03 0.00000000e+00 1.14003968e-16 0.00000000e+00
1.28270361e+03 0.00000000e+00 1.14001960e-16 0.00000000e+00
1.28355896e+03 0.00000000e+00 1.14009738e-16 0.00000000e+00
1.28441492e+03 0.00000000e+00 1.14023596e-16 0.00000000e+00
1.28527136e+03 0.00000000e+00 1.14043712e-16 0.00000000e+00
1.28612854e+03 0.00000000e+00 1.14070270e-16 0.00000000e+00
1.28698621e+03 0.00000000e+00 1.14103445e-16 0.00000000e+00
1.28784448e+03 0.00000000e+00 1.14143421e-16 0.00000000e+00
1.28870325e+03 0.00000000e+00 1.14190374e-16 0.00000000e+00
1.28956274e+03 0.00000000e+00 1.14244501e-16 0.00000000e+00
1.29042261e+03 0.00000000e+00 1.14305961e-16 0.00000000e+00
1.29128320e+03 0.00000000e+00 1.14374962e-16 0.00000000e+00
1.29214429e+03 0.00000000e+00 1.14451672e-16 0.00000000e+00
1.29300598e+03 0.00000000e+00 1.14536284e-16 0.00000000e+00
1.29386829e+03 0.00000000e+00 1.14628986e-16 0.00000000e+00
1.29473108e+03 0.00000000e+00 1.14729950e-16 0.00000000e+00
1.29559448e+03 0.00000000e+00 1.14839378e-16 0.00000000e+00
1.29645850e+03 0.00000000e+00 1.14957457e-16 0.00000000e+00
1.29732312e+03 0.00000000e+00 1.15084378e-16 0.00000000e+00
1.29818823e+03 0.00000000e+00 1.15220310e-16 0.00000000e+00
1.29905396e+03 0.00000000e+00 1.15365463e-16 0.00000000e+00
1.29992017e+03 0.00000000e+00 1.15520006e-16 0.00000000e+00
1.30078711e+03 0.00000000e+00 1.15684175e-16 0.00000000e+00
1.30165454e+03 0.00000000e+00 1.15858116e-16 0.00000000e+00
1.30252258e+03 0.00000000e+00 1.16042046e-16 0.00000000e+00
1.30339124e+03 0.00000000e+00 1.16236159e-16 0.00000000e+00
1.30426038e+03 0.00000000e+00 1.16440623e-16 0.00000000e+00
1.30513013e+03 0.00000000e+00 1.16655658e-16 0.00000000e+00
1.30600049e+03 0.00000000e+00 1.16881463e-16 0.00000000e+00
1.30687146e+03 0.00000000e+00 1.17118235e-16 0.00000000e+00
1.30774292e+03 0.00000000e+00 1.17366136e-16 0.00000000e+00
1.30861499e+03 0.00000000e+00 1.17625397e-16 0.00000000e+00
1.30948767e+03 0.00000000e+00 1.17896220e-16 0.00000000e+00
1.31036084e+03 0.00000000e+00 1.18178764e-16 0.00000000e+00
1.31123474e+03 0.00000000e+00 1.18473308e-16 0.00000000e+00
1.31210925e+03 0.00000000e+00 1.18780018e-16 0.00000000e+00
1.31298425e+03 0.00000000e+00 1.19099049e-16 0.00000000e+00
1.31385974e+03 0.00000000e+00 1.19430601e-16 0.00000000e+00
1.31473584e+03 0.00000000e+00 1.19774921e-16 0.00000000e+00
1.31561267e+03 0.00000000e+00 1.20132264e-16 0.00000000e+00
1.31648999e+03 0.00000000e+00 1.20502738e-16 0.00000000e+00
1.31736804e+03 0.00000000e+00 1.20886651e-16 0.00000000e+00
1.31824646e+03 0.00000000e+00 1.21284048e-16 0.00000000e+00
1.31912561e+03 0.00000000e+00 1.21695300e-16 0.00000000e+00
1.32000525e+03 0.00000000e+00 1.22120502e-16 0.00000000e+00
1.32088550e+03 0.00000000e+00 1.22559918e-16 0.00000000e+00
1.32176636e+03 0.00000000e+00 1.23013760e-16 0.00000000e+00
1.32264783e+03 0.00000000e+00 1.23482237e-16 0.00000000e+00
1.32352979e+03 0.00000000e+00 1.23965495e-16 0.00000000e+00
1.32441248e+03 0.00000000e+00 1.24463880e-16 0.00000000e+00
1.32529565e+03 0.00000000e+00 1.24977466e-16 0.00000000e+00
1.32617944e+03 0.00000000e+00 1.25506536e-16 0.00000000e+00
1.32706384e+03 0.00000000e+00 1.26051305e-16 0.00000000e+00
1.32794885e+03 0.00000000e+00 1.26611988e-16 0.00000000e+00
1.32883435e+03 0.00000000e+00 1.27188722e-16 0.00000000e+00
1.32972046e+03 0.00000000e+00 1.27781798e-16 0.00000000e+00
1.33060730e+03 0.00000000e+00 1.28391521e-16 0.00000000e+00
1.33149463e+03 0.00000000e+00 1.29017941e-16 0.00000000e+00
1.33238257e+03 0.00000000e+00 1.29661361e-16 0.00000000e+00
1.33327112e+03 0.00000000e+00 1.30322000e-16 0.00000000e+00
1.33416016e+03 0.00000000e+00 1.30999986e-16 0.00000000e+00
1.33504993e+03 0.00000000e+00 1.31695726e-16 0.00000000e+00
1.33594019e+03 0.00000000e+00 1.32409253e-16 0.00000000e+00
1.33683105e+03 0.00000000e+00 1.33140883e-16 0.00000000e+00
1.33772266e+03 0.00000000e+00 1.33890945e-16 0.00000000e+00
1.33861475e+03 0.00000000e+00 1.34659458e-16 0.00000000e+00
1.33950732e+03 0.00000000e+00 1.35446641e-16 0.00000000e+00
1.34040063e+03 0.00000000e+00 1.36252935e-16 0.00000000e+00
1.34129456e+03 0.00000000e+00 1.37078461e-16 0.00000000e+00
1.34218884e+03 0.00000000e+00 1.37923215e-16 0.00000000e+00
1.34308398e+03 0.00000000e+00 1.38787887e-16 0.00000000e+00
1.34397974e+03 0.00000000e+00 1.39672477e-16 0.00000000e+00
1.34487585e+03 0.00000000e+00 1.40576968e-16 0.00000000e+00
1.34577283e+03 0.00000000e+00 1.41502084e-16 0.00000000e+00
1.34667017e+03 0.00000000e+00 1.42447552e-16 0.00000000e+00
1.34756836e+03 0.00000000e+00 1.43414122e-16 0.00000000e+00
1.34846692e+03 0.00000000e+00 1.44401500e-16 0.00000000e+00
1.34936621e+03 0.00000000e+00 1.45410319e-16 0.00000000e+00
1.35026599e+03 0.00000000e+00 1.46440542e-16 0.00000000e+00
1.35116650e+03 0.00000000e+00 1.47492683e-16 0.00000000e+00
1.35206750e+03 0.00000000e+00 1.48566694e-16 0.00000000e+00
1.35296924e+03 0.00000000e+00 1.49663104e-16 0.00000000e+00
1.35387146e+03 0.00000000e+00 1.50781855e-16 0.00000000e+00
1.35477429e+03 0.00000000e+00 1.51923332e-16 0.00000000e+00
1.35567773e+03 0.00000000e+00 1.53087777e-16 0.00000000e+00
1.35658179e+03 0.00000000e+00 1.54275430e-16 0.00000000e+00
1.35748645e+03 0.00000000e+00 1.55486533e-16 0.00000000e+00
1.35839172e+03 0.00000000e+00 1.56721328e-16 0.00000000e+00
1.35929761e+03 0.00000000e+00 1.57980060e-16 0.00000000e+00
