# [b"Cross sections for CH\nConverted from earlier Leiden database cross sections by Helgi Rafn Hr\xc3\xb3\xc3\xb0marsson 2022/11/16\nPhotodissociation source: CH P.D. cf. van Dishoeck ('87)\nPhotoionisation source: CH P.I. CF. Gans+ (2016), Wang+ (2021)\nLines represented with gaussian of width 1.0 nm FWHM\nwavelength: (nm)\nphotoabsorption:    cross section (cm2)\nphotodissociation:  cross section (cm2)\nphotoionisation:    cross section (cm2)"]
# 
# wavelength   photoabsorption photodissociation   photoionisation
  90.0000000       2.00952e-17       5.00000e-20       2.00452e-17
  92.5000000       1.79181e-17       5.00000e-20       1.78681e-17
  94.9000000       1.58285e-17       5.00000e-20       1.57785e-17
  95.0000000       1.57414e-17       5.00000e-20       1.56914e-17
  95.1000000       1.56543e-17       5.00000e-20       1.56043e-17
  95.2000000       1.55673e-17       5.00000e-20       1.55173e-17
  95.3000000       1.54802e-17       5.00000e-20       1.54302e-17
  95.4000000       1.53931e-17       5.00000e-20       1.53431e-17
  95.5000000       1.53061e-17       5.00000e-20       1.52561e-17
  95.6000000       1.52190e-17       5.00000e-20       1.51690e-17
  95.7000000       1.51319e-17       5.00000e-20       1.50819e-17
  95.8000000       1.50449e-17       5.00000e-20       1.49949e-17
  95.9000000       1.49578e-17       5.00000e-20       1.49078e-17
  96.0000000       1.48707e-17       5.00000e-20       1.48207e-17
  96.1000000       1.47837e-17       5.00000e-20       1.47337e-17
  96.2000000       1.46966e-17       5.00000e-20       1.46466e-17
  96.3000000       1.46095e-17       5.00000e-20       1.45595e-17
  96.4000000       1.45224e-17       5.00000e-20       1.44724e-17
  96.5000000       1.44354e-17       5.00000e-20       1.43854e-17
  96.6000000       1.43483e-17       5.00000e-20       1.42983e-17
  96.7000000       1.42612e-17       5.00000e-20       1.42112e-17
  96.8000000       1.41742e-17       5.00000e-20       1.41242e-17
  96.9000000       1.40871e-17       5.00000e-20       1.40371e-17
  96.9000000       1.40871e-17       5.00000e-20       1.40371e-17
  97.0000000       1.40000e-17       5.00000e-20       1.39500e-17
  97.0000000       1.40000e-17       5.00000e-20       1.39500e-17
  97.1000000       1.39130e-17       5.00000e-20       1.38630e-17
