# wavelength   photoabsorption photodissociation   photoionization
1.24978418e+03 0.00000000e+00 2.18371480e-19 0.00000000e+00
1.25061755e+03 0.00000000e+00 2.24559880e-19 0.00000000e+00
1.25145166e+03 0.00000000e+00 2.30572597e-19 0.00000000e+00
1.25228613e+03 0.00000000e+00 2.36449620e-19 0.00000000e+00
1.25312134e+03 0.00000000e+00 2.42225843e-19 0.00000000e+00
1.25395691e+03 0.00000000e+00 2.47931168e-19 0.00000000e+00
1.25479309e+03 0.00000000e+00 2.53599841e-19 0.00000000e+00
1.25562988e+03 0.00000000e+00 2.59264549e-19 0.00000000e+00
1.25646729e+03 0.00000000e+00 2.64958122e-19 0.00000000e+00
1.25730518e+03 0.00000000e+00 2.70712693e-19 0.00000000e+00
1.25814355e+03 0.00000000e+00 2.76561331e-19 0.00000000e+00
1.25898254e+03 0.00000000e+00 2.82538104e-19 0.00000000e+00
1.25982214e+03 0.00000000e+00 2.88676391e-19 0.00000000e+00
1.26066235e+03 0.00000000e+00 2.94891088e-19 0.00000000e+00
1.26150305e+03 0.00000000e+00 3.00978283e-19 0.00000000e+00
1.26234436e+03 0.00000000e+00 3.06997643e-19 0.00000000e+00
1.26318616e+03 0.00000000e+00 3.13016143e-19 0.00000000e+00
1.26402844e+03 0.00000000e+00 3.19101892e-19 0.00000000e+00
1.26487146e+03 0.00000000e+00 3.25325059e-19 0.00000000e+00
1.26571484e+03 0.00000000e+00 3.31751586e-19 0.00000000e+00
1.26655896e+03 0.00000000e+00 3.38453194e-19 0.00000000e+00
1.26740356e+03 0.00000000e+00 3.45497203e-19 0.00000000e+00
1.26824878e+03 0.00000000e+00 3.52954106e-19 0.00000000e+00
1.26909448e+03 0.00000000e+00 3.60892565e-19 0.00000000e+00
1.26994092e+03 0.00000000e+00 3.69385009e-19 0.00000000e+00
1.27078772e+03 0.00000000e+00 3.78895837e-19 0.00000000e+00
1.27163525e+03 0.00000000e+00 3.89821610e-19 0.00000000e+00
1.27248315e+03 0.00000000e+00 4.01911666e-19 0.00000000e+00
1.27333179e+03 0.00000000e+00 4.14921744e-19 0.00000000e+00
