# [b'Cross sections for H2CS\nHelgi Rafn Hr\xc3\xb3\xc3\xb0marsson 2022-11-26\nPhotodissociation source: Drury+ (1982), Chiang+ (2005)\nPhotoionization source: Kroto+ (1972)\nwavelength: (nm)\nphotoabsorption:    cross section (cm2)\nphotodissociation:  cross section (cm2)\nphotoionisation:    cross section (cm2)']
# 
# wavelength   photoabsorption photodissociation   photoionisation
  77.1549222       5.04879e-17       6.18886e-18       4.42991e-17
  77.2096959       5.05009e-17       6.20182e-18       4.42991e-17
  77.2650289       5.05140e-17       6.21491e-18       4.42991e-17
  77.3199590       5.05270e-17       6.22791e-18       4.42991e-17
  77.3749673       5.05400e-17       6.24092e-18       4.42991e-17
  77.4305375       5.05531e-17       6.25407e-18       4.42991e-17
  77.4857033       5.05662e-17       6.26713e-18       4.42991e-17
  77.5409478       5.05793e-17       6.28020e-18       4.42991e-17
  77.5967567       5.05925e-17       6.29340e-18       4.42991e-17
  77.6521597       5.06056e-17       6.30651e-18       4.42991e-17
  77.7076419       5.06187e-17       6.31964e-18       4.42991e-17
  77.7636911       5.06320e-17       6.33290e-18       4.42991e-17
  77.8193328       5.06451e-17       6.34607e-18       4.42991e-17
  77.8750542       5.06583e-17       6.35926e-18       4.42991e-17
  77.9313453       5.06716e-17       6.37258e-18       4.42991e-17
  77.9872273       5.06849e-17       6.38580e-18       4.42991e-17
  78.0436807       5.06982e-17       6.39916e-18       4.42991e-17
  78.0997240       5.07115e-17       6.41242e-18       4.42991e-17
  78.1558478       5.07248e-17       6.42570e-18       4.42991e-17
  78.2125457       5.07382e-17       6.43911e-18       4.42991e-17
  78.2688319       5.07515e-17       6.45243e-18       4.42991e-17
  78.3251991       5.07648e-17       6.46577e-18       4.42991e-17
  78.3821430       5.07783e-17       6.47924e-18       4.42991e-17
  78.4386736       5.07917e-17       6.49262e-18       4.42991e-17
  78.4952858       5.08051e-17       6.50602e-18       4.42991e-17
  78.5524775       5.08186e-17       6.51955e-18       4.42991e-17
  78.6092541       5.08320e-17       6.53298e-18       4.42991e-17
  78.6666120       5.08456e-17       6.54656e-18       4.42991e-17
  78.7235538       5.08591e-17       6.56003e-18       4.42991e-17
  78.7805781       5.08726e-17       6.57352e-18       4.42991e-17
  78.8381864       5.08862e-17       6.58715e-18       4.42991e-17
  78.8953770       5.08998e-17       6.60069e-18       4.42991e-17
  78.9526506       5.09133e-17       6.61424e-18       4.42991e-17
  79.0105109       5.09270e-17       6.62793e-18       4.42991e-17
  79.0679518       5.09406e-17       6.64152e-18       4.42991e-17
  79.1254763       5.09542e-17       6.65513e-18       4.42991e-17
  79.1835903       5.09680e-17       6.66889e-18       4.42991e-17
  79.2412833       5.09816e-17       6.68254e-18       4.42991e-17
  79.2995675       5.09954e-17       6.69633e-18       4.42991e-17
  79.3574297       5.10091e-17       6.71002e-18       4.42991e-17
  79.4153763       5.10228e-17       6.72373e-18       4.42991e-17
  79.4739171       5.10366e-17       6.73758e-18       4.42991e-17
  79.5320341       5.10504e-17       6.75133e-18       4.42991e-17
  79.5902361       5.10642e-17       6.76511e-18       4.42991e-17
  79.6490350       5.10781e-17       6.77902e-18       4.42991e-17
  79.7074085       5.10919e-17       6.79283e-18       4.42991e-17
  79.7658675       5.11057e-17       6.80667e-18       4.42991e-17
  79.8249263       5.11197e-17       6.82064e-18       4.42991e-17
  79.8835580       5.11336e-17       6.83451e-18       4.42991e-17
  79.9427913       5.11476e-17       6.84853e-18       4.42991e-17
  80.0015963       5.11615e-17       6.86244e-18       4.42991e-17
  80.0604878       5.11754e-17       6.87638e-18       4.42991e-17
  80.1199839       5.11895e-17       6.89046e-18       4.42991e-17
