# wavelength   photoabsorption photodissociation   photoionization
1.24978416e+02 8.61858000e-18 8.64779320e-18 0.00000000e+00
1.25061752e+02 8.61858000e-18 8.61571497e-18 0.00000000e+00
1.25145164e+02 8.61858000e-18 8.58479915e-18 0.00000000e+00
1.25228615e+02 8.61858000e-18 8.55428138e-18 0.00000000e+00
1.25312134e+02 8.48870000e-18 8.52500797e-18 0.00000000e+00
1.25395691e+02 8.48870000e-18 8.49785462e-18 0.00000000e+00
1.25479309e+02 8.48870000e-18 8.47369688e-18 0.00000000e+00
1.25562988e+02 8.48870000e-18 8.45243514e-18 0.00000000e+00
1.25646729e+02 8.48870000e-18 8.43268102e-18 0.00000000e+00
1.25730515e+02 8.37495000e-18 8.41298647e-18 0.00000000e+00
1.25814354e+02 8.37495000e-18 8.39189504e-18 0.00000000e+00
1.25898254e+02 8.37495000e-18 8.36787072e-18 0.00000000e+00
1.25982216e+02 8.37495000e-18 8.33930819e-18 0.00000000e+00
1.26066238e+02 8.24508000e-18 8.30813403e-18 0.00000000e+00
1.26150307e+02 8.24508000e-18 8.27714169e-18 0.00000000e+00
1.26234436e+02 8.24508000e-18 8.24912682e-18 0.00000000e+00
1.26318619e+02 8.24508000e-18 8.22543512e-18 0.00000000e+00
1.26402847e+02 8.24508000e-18 8.20412063e-18 0.00000000e+00
1.26487144e+02 8.24508000e-18 8.18421064e-18 0.00000000e+00
1.26571487e+02 8.11507000e-18 8.16478133e-18 0.00000000e+00
1.26655899e+02 8.11507000e-18 8.14488789e-18 0.00000000e+00
1.26740356e+02 8.11507000e-18 8.12359596e-18 0.00000000e+00
1.26824875e+02 8.11507000e-18 8.10006214e-18 0.00000000e+00
1.26909447e+02 8.11507000e-18 8.07457114e-18 0.00000000e+00
1.26994095e+02 8.00139000e-18 8.04806944e-18 0.00000000e+00
1.27078773e+02 8.00139000e-18 8.02153374e-18 0.00000000e+00
1.27163528e+02 8.00139000e-18 7.99587429e-18 0.00000000e+00
1.27248314e+02 8.00139000e-18 7.97056460e-18 0.00000000e+00
1.27333176e+02 8.00139000e-18 7.94532535e-18 0.00000000e+00
1.27418091e+02 7.87144000e-18 7.92043250e-18 0.00000000e+00
1.27503067e+02 7.87144000e-18 7.89615225e-18 0.00000000e+00
1.27588089e+02 7.87144000e-18 7.87275888e-18 0.00000000e+00
1.27673172e+02 7.87144000e-18 7.84987929e-18 0.00000000e+00
1.27758324e+02 7.87144000e-18 7.82707128e-18 0.00000000e+00
1.27843506e+02 7.87144000e-18 7.80476199e-18 0.00000000e+00
1.27928772e+02 7.74144000e-18 7.78335379e-18 0.00000000e+00
1.28014069e+02 7.74144000e-18 7.76327899e-18 0.00000000e+00
1.28099457e+02 7.74144000e-18 7.74495064e-18 0.00000000e+00
1.28184875e+02 7.74144000e-18 7.72827106e-18 0.00000000e+00
1.28270355e+02 7.74144000e-18 7.71236195e-18 0.00000000e+00
1.28355896e+02 7.74144000e-18 7.69725660e-18 0.00000000e+00
1.28441498e+02 7.64375000e-18 7.68301678e-18 0.00000000e+00
1.28527130e+02 7.64375000e-18 7.66970868e-18 0.00000000e+00
1.28612854e+02 7.64375000e-18 7.65739316e-18 0.00000000e+00
1.28698624e+02 7.64375000e-18 7.64613861e-18 0.00000000e+00
1.28784454e+02 7.64375000e-18 7.63541481e-18 0.00000000e+00
1.28870331e+02 7.64375000e-18 7.62421946e-18 0.00000000e+00
1.28956268e+02 7.64375000e-18 7.61307122e-18 0.00000000e+00
1.29042267e+02 7.64375000e-18 7.60255373e-18 0.00000000e+00
1.29128326e+02 7.57839000e-18 7.59324379e-18 0.00000000e+00
1.29214432e+02 7.57839000e-18 7.58572777e-18 0.00000000e+00
1.29300598e+02 7.57839000e-18 7.58059041e-18 0.00000000e+00
1.29386826e+02 7.57839000e-18 7.57842033e-18 0.00000000e+00
1.29473114e+02 7.57839000e-18 7.57826148e-18 0.00000000e+00
1.29559448e+02 7.57839000e-18 7.57813609e-18 0.00000000e+00
1.29645844e+02 7.57839000e-18 7.57802806e-18 0.00000000e+00
1.29732315e+02 7.57839000e-18 7.57793731e-18 0.00000000e+00
1.29818817e+02 7.57774000e-18 7.57786378e-18 0.00000000e+00
1.29905396e+02 7.57774000e-18 7.57780738e-18 0.00000000e+00
1.29992020e+02 7.57774000e-18 7.57776805e-18 0.00000000e+00
1.30078705e+02 7.57774000e-18 7.57774570e-18 0.00000000e+00
1.30165451e+02 7.57774000e-18 7.57785148e-18 0.00000000e+00
1.30252258e+02 7.57774000e-18 7.58223978e-18 0.00000000e+00
1.30339127e+02 7.57774000e-18 7.59182683e-18 0.00000000e+00
1.30426041e+02 7.57774000e-18 7.60496823e-18 0.00000000e+00
1.30513016e+02 7.65819000e-18 7.62001635e-18 0.00000000e+00
1.30600052e+02 7.65819000e-18 7.63531556e-18 0.00000000e+00
1.30687149e+02 7.65819000e-18 7.64920326e-18 0.00000000e+00
1.30774292e+02 7.65819000e-18 7.66007033e-18 0.00000000e+00
1.30861496e+02 7.65819000e-18 7.66880908e-18 0.00000000e+00
