#pseudo-Leiden file converted from a specific SWRI (PhIDRates) branch column
#reaction: H2O -> H2 + O_1D (SWRI col 'H2/O1D', native matcher can't map our 'O_1D' naming)
#source: H2O.txt, column 3 (0-indexed incl. Lambda), verified by hand against the raw header
#this branch's own cross section used for both photoabsorption and photodissociation
#wavelength(nm) photoabsorption(cm2) photodissociation(cm2) photoionization(cm2)
0.100000 2.500000e-24 2.500000e-24 0.000000e+00
0.500000 2.520000e-22 2.520000e-22 0.000000e+00
1.000000 1.720000e-21 1.720000e-21 0.000000e+00
2.000000 3.340000e-21 3.340000e-21 0.000000e+00
2.250000 1.440000e-20 1.440000e-20 0.000000e+00
2.350000 7.490000e-22 7.490000e-22 0.000000e+00
10.000000 3.560000e-20 3.560000e-20 0.000000e+00
18.000000 1.570000e-19 1.570000e-19 0.000000e+00
20.000000 1.820000e-19 1.820000e-19 0.000000e+00
22.000000 2.160000e-19 2.160000e-19 0.000000e+00
24.000000 2.540000e-19 2.540000e-19 0.000000e+00
26.000000 2.830000e-19 2.830000e-19 0.000000e+00
28.000000 3.340000e-19 3.340000e-19 0.000000e+00
30.000000 3.590000e-19 3.590000e-19 0.000000e+00
32.000000 3.840000e-19 3.840000e-19 0.000000e+00
34.000000 4.240000e-19 4.240000e-19 0.000000e+00
36.000000 4.620000e-19 4.620000e-19 0.000000e+00
38.000000 5.060000e-19 5.060000e-19 0.000000e+00
40.000000 5.580000e-19 5.580000e-19 0.000000e+00
42.000000 6.190000e-19 6.190000e-19 0.000000e+00
44.000000 6.950000e-19 6.950000e-19 0.000000e+00
46.000000 7.320000e-19 7.320000e-19 0.000000e+00
48.000000 7.400000e-19 7.400000e-19 0.000000e+00
50.000000 7.780000e-19 7.780000e-19 0.000000e+00
52.000000 8.210000e-19 8.210000e-19 0.000000e+00
54.000000 8.740000e-19 8.740000e-19 0.000000e+00
56.000000 9.230000e-19 9.230000e-19 0.000000e+00
58.000000 9.650000e-19 9.650000e-19 0.000000e+00
60.000000 1.010000e-18 1.010000e-18 0.000000e+00
62.000000 1.000000e-18 1.000000e-18 0.000000e+00
64.000000 9.760000e-19 9.760000e-19 0.000000e+00
66.000000 1.010000e-18 1.010000e-18 0.000000e+00
68.000000 1.700000e-18 1.700000e-18 0.000000e+00
70.000000 1.590000e-18 1.590000e-18 0.000000e+00
72.000000 1.620000e-18 1.620000e-18 0.000000e+00
72.280000 1.620000e-18 1.620000e-18 0.000000e+00
73.450000 1.600000e-18 1.600000e-18 0.000000e+00
74.200000 1.400000e-18 1.400000e-18 0.000000e+00
75.000000 1.650000e-18 1.650000e-18 0.000000e+00
75.870000 1.230000e-18 1.230000e-18 0.000000e+00
76.660000 1.280000e-18 1.280000e-18 0.000000e+00
77.670000 9.490000e-19 9.490000e-19 0.000000e+00
78.400000 8.260000e-19 8.260000e-19 0.000000e+00
79.360000 7.260000e-19 7.260000e-19 0.000000e+00
80.000000 6.530000e-19 6.530000e-19 0.000000e+00
80.250000 6.770000e-19 6.770000e-19 0.000000e+00
80.860000 7.780000e-19 7.780000e-19 0.000000e+00
81.560000 9.030000e-19 9.030000e-19 0.000000e+00
82.220000 1.030000e-18 1.030000e-18 0.000000e+00
82.970000 1.180000e-18 1.180000e-18 0.000000e+00
83.370000 1.200000e-18 1.200000e-18 0.000000e+00
83.650000 1.380000e-18 1.380000e-18 0.000000e+00
84.420000 1.650000e-18 1.650000e-18 0.000000e+00
84.880000 1.550000e-18 1.550000e-18 0.000000e+00
85.110000 1.930000e-18 1.930000e-18 0.000000e+00
85.260000 1.780000e-18 1.780000e-18 0.000000e+00
85.520000 1.820000e-18 1.820000e-18 0.000000e+00
85.750000 2.080000e-18 2.080000e-18 0.000000e+00
85.920000 2.070000e-18 2.070000e-18 0.000000e+00
86.100000 1.830000e-18 1.830000e-18 0.000000e+00
86.250000 2.010000e-18 2.010000e-18 0.000000e+00
86.500000 2.210000e-18 2.210000e-18 0.000000e+00
86.680000 2.200000e-18 2.200000e-18 0.000000e+00
86.790000 2.250000e-18 2.250000e-18 0.000000e+00
87.020000 2.520000e-18 2.520000e-18 0.000000e+00
87.240000 2.530000e-18 2.530000e-18 0.000000e+00
87.410000 2.560000e-18 2.560000e-18 0.000000e+00
87.770000 2.560000e-18 2.560000e-18 0.000000e+00
87.900000 2.630000e-18 2.630000e-18 0.000000e+00
88.330000 2.580000e-18 2.580000e-18 0.000000e+00
88.580000 3.100000e-18 3.100000e-18 0.000000e+00
88.740000 2.870000e-18 2.870000e-18 0.000000e+00
89.140000 2.890000e-18 2.890000e-18 0.000000e+00
89.300000 3.410000e-18 3.410000e-18 0.000000e+00
89.440000 3.330000e-18 3.330000e-18 0.000000e+00
90.030000 3.560000e-18 3.560000e-18 0.000000e+00
90.300000 2.840000e-18 2.840000e-18 0.000000e+00
90.500000 2.810000e-18 2.810000e-18 0.000000e+00
90.810000 3.770000e-18 3.770000e-18 0.000000e+00
90.900000 3.820000e-18 3.820000e-18 0.000000e+00
91.000000 3.740000e-18 3.740000e-18 0.000000e+00
91.150000 3.270000e-18 3.270000e-18 0.000000e+00
91.550000 3.510000e-18 3.510000e-18 0.000000e+00
91.670000 4.160000e-18 4.160000e-18 0.000000e+00
91.750000 3.900000e-18 3.900000e-18 0.000000e+00
91.860000 3.760000e-18 3.760000e-18 0.000000e+00
92.380000 3.490000e-18 3.490000e-18 0.000000e+00
92.530000 3.790000e-18 3.790000e-18 0.000000e+00
92.620000 4.270000e-18 4.270000e-18 0.000000e+00
92.740000 3.930000e-18 3.930000e-18 0.000000e+00
93.000000 3.070000e-18 3.070000e-18 0.000000e+00
93.240000 3.940000e-18 3.940000e-18 0.000000e+00
93.380000 3.940000e-18 3.940000e-18 0.000000e+00
93.480000 3.850000e-18 3.850000e-18 0.000000e+00
93.630000 3.610000e-18 3.610000e-18 0.000000e+00
94.120000 3.820000e-18 3.820000e-18 0.000000e+00
94.260000 3.950000e-18 3.950000e-18 0.000000e+00
94.340000 3.490000e-18 3.490000e-18 0.000000e+00
94.530000 3.300000e-18 3.300000e-18 0.000000e+00
94.800000 3.220000e-18 3.220000e-18 0.000000e+00
94.940000 3.400000e-18 3.400000e-18 0.000000e+00
95.110000 3.210000e-18 3.210000e-18 0.000000e+00
95.210000 3.210000e-18 3.210000e-18 0.000000e+00
95.820000 3.110000e-18 3.110000e-18 0.000000e+00
95.980000 3.220000e-18 3.220000e-18 0.000000e+00
96.080000 2.850000e-18 2.850000e-18 0.000000e+00
96.330000 2.950000e-18 2.950000e-18 0.000000e+00
96.540000 2.670000e-18 2.670000e-18 0.000000e+00
96.730000 2.900000e-18 2.900000e-18 0.000000e+00
96.840000 2.890000e-18 2.890000e-18 0.000000e+00
97.000000 2.130000e-18 2.130000e-18 0.000000e+00
97.720000 2.430000e-18 2.430000e-18 0.000000e+00
97.800000 2.480000e-18 2.480000e-18 0.000000e+00
98.400000 1.320000e-18 1.320000e-18 0.000000e+00
100.000000 8.000000e-19 8.000000e-19 0.000000e+00
102.000000 5.000000e-19 5.000000e-19 0.000000e+00
104.000000 3.000000e-19 3.000000e-19 0.000000e+00
106.000000 1.900000e-19 1.900000e-19 0.000000e+00
106.500000 3.350000e-19 3.350000e-19 0.000000e+00
107.000000 2.300000e-19 2.300000e-19 0.000000e+00
107.500000 1.050000e-18 1.050000e-18 0.000000e+00
108.000000 3.700000e-19 3.700000e-19 0.000000e+00
108.500000 5.200000e-19 5.200000e-19 0.000000e+00
109.000000 1.100000e-18 1.100000e-18 0.000000e+00
109.500000 4.100000e-19 4.100000e-19 0.000000e+00
110.000000 3.700000e-19 3.700000e-19 0.000000e+00
110.500000 2.400000e-19 2.400000e-19 0.000000e+00
111.000000 1.800000e-18 1.800000e-18 0.000000e+00
