#pseudo-Leiden file converted from a specific SWRI (PhIDRates) branch column
#reaction: HCN -> H + CN (SWRI col 'H/CN(*)', native matcher doesn't strip the '(*)' suffix)
#source: HCN.txt, column 2 (0-indexed incl. Lambda), verified by hand against the raw header
#this branch's own cross section used for both photoabsorption and photodissociation
#wavelength(nm) photoabsorption(cm2) photodissociation(cm2) photoionization(cm2)
0.100000 0.000000e+00 0.000000e+00 0.000000e+00
3.000000 0.000000e+00 0.000000e+00 0.000000e+00
3.100000 0.000000e+00 0.000000e+00 0.000000e+00
4.100000 0.000000e+00 0.000000e+00 0.000000e+00
4.300000 0.000000e+00 0.000000e+00 0.000000e+00
5.000000 0.000000e+00 0.000000e+00 0.000000e+00
10.000000 0.000000e+00 0.000000e+00 0.000000e+00
20.000000 0.000000e+00 0.000000e+00 0.000000e+00
30.000000 0.000000e+00 0.000000e+00 0.000000e+00
40.000000 0.000000e+00 0.000000e+00 0.000000e+00
50.000000 0.000000e+00 0.000000e+00 0.000000e+00
60.000000 0.000000e+00 0.000000e+00 0.000000e+00
70.000000 0.000000e+00 0.000000e+00 0.000000e+00
80.000000 0.000000e+00 0.000000e+00 0.000000e+00
90.000000 0.000000e+00 0.000000e+00 0.000000e+00
91.120000 0.000000e+00 0.000000e+00 0.000000e+00
91.200000 1.550000e-17 1.550000e-17 0.000000e+00
105.000000 1.460000e-17 1.460000e-17 0.000000e+00
105.150000 1.460000e-17 1.460000e-17 0.000000e+00
105.270000 2.060000e-17 2.060000e-17 0.000000e+00
105.580000 1.450000e-17 1.450000e-17 0.000000e+00
105.900000 2.260000e-17 2.260000e-17 0.000000e+00
106.010000 2.050000e-17 2.050000e-17 0.000000e+00
106.330000 2.330000e-17 2.330000e-17 0.000000e+00
106.460000 2.030000e-17 2.030000e-17 0.000000e+00
106.640000 2.550000e-17 2.550000e-17 0.000000e+00
106.790000 1.880000e-17 1.880000e-17 0.000000e+00
106.880000 2.890000e-17 2.890000e-17 0.000000e+00
107.000000 2.690000e-17 2.690000e-17 0.000000e+00
107.330000 6.380000e-17 6.380000e-17 0.000000e+00
107.560000 3.770000e-17 3.770000e-17 0.000000e+00
107.740000 5.890000e-17 5.890000e-17 0.000000e+00
108.090000 2.790000e-17 2.790000e-17 0.000000e+00
108.200000 2.850000e-17 2.850000e-17 0.000000e+00
108.390000 2.490000e-17 2.490000e-17 0.000000e+00
108.570000 3.330000e-17 3.330000e-17 0.000000e+00
108.890000 2.150000e-17 2.150000e-17 0.000000e+00
109.030000 4.360000e-17 4.360000e-17 0.000000e+00
109.450000 1.910000e-17 1.910000e-17 0.000000e+00
109.830000 2.470000e-17 2.470000e-17 0.000000e+00
110.330000 1.740000e-17 1.740000e-17 0.000000e+00
110.500000 2.820000e-17 2.820000e-17 0.000000e+00
110.700000 2.370000e-17 2.370000e-17 0.000000e+00
110.810000 2.420000e-17 2.420000e-17 0.000000e+00
111.060000 2.190000e-17 2.190000e-17 0.000000e+00
111.150000 3.680000e-17 3.680000e-17 0.000000e+00
111.430000 2.220000e-17 2.220000e-17 0.000000e+00
112.170000 8.160000e-17 8.160000e-17 0.000000e+00
112.580000 4.460000e-17 4.460000e-17 0.000000e+00
112.660000 4.510000e-17 4.510000e-17 0.000000e+00
113.070000 3.730000e-17 3.730000e-17 0.000000e+00
113.540000 4.550000e-17 4.550000e-17 0.000000e+00
113.690000 4.320000e-17 4.320000e-17 0.000000e+00
113.930000 4.430000e-17 4.430000e-17 0.000000e+00
114.110000 4.170000e-17 4.170000e-17 0.000000e+00
114.290000 4.360000e-17 4.360000e-17 0.000000e+00
115.130000 3.610000e-17 3.610000e-17 0.000000e+00
115.610000 4.510000e-17 4.510000e-17 0.000000e+00
117.220000 1.730000e-17 1.730000e-17 0.000000e+00
117.450000 1.670000e-17 1.670000e-17 0.000000e+00
117.740000 2.240000e-17 2.240000e-17 0.000000e+00
118.030000 1.970000e-17 1.970000e-17 0.000000e+00
118.410000 2.890000e-17 2.890000e-17 0.000000e+00
118.530000 2.900000e-17 2.900000e-17 0.000000e+00
118.940000 3.690000e-17 3.690000e-17 0.000000e+00
119.520000 2.500000e-17 2.500000e-17 0.000000e+00
119.710000 2.870000e-17 2.870000e-17 0.000000e+00
120.380000 2.030000e-17 2.030000e-17 0.000000e+00
120.760000 2.820000e-17 2.820000e-17 0.000000e+00
121.050000 2.320000e-17 2.320000e-17 0.000000e+00
121.500000 4.240000e-17 4.240000e-17 0.000000e+00
121.980000 3.660000e-17 3.660000e-17 0.000000e+00
122.310000 2.640000e-17 2.640000e-17 0.000000e+00
122.410000 2.540000e-17 2.540000e-17 0.000000e+00
122.900000 1.720000e-17 1.720000e-17 0.000000e+00
123.070000 2.060000e-17 2.060000e-17 0.000000e+00
123.420000 1.160000e-17 1.160000e-17 0.000000e+00
123.960000 6.560000e-18 6.560000e-18 0.000000e+00
124.600000 4.320000e-18 4.320000e-18 0.000000e+00
124.870000 4.320000e-18 4.320000e-18 0.000000e+00
125.820000 1.830000e-18 1.830000e-18 0.000000e+00
127.000000 1.110000e-18 1.110000e-18 0.000000e+00
129.030000 2.140000e-18 2.140000e-18 0.000000e+00
129.520000 1.070000e-18 1.070000e-18 0.000000e+00
130.000000 1.680000e-18 1.680000e-18 0.000000e+00
130.140000 1.910000e-18 1.910000e-18 0.000000e+00
130.460000 1.490000e-18 1.490000e-18 0.000000e+00
130.870000 1.760000e-18 1.760000e-18 0.000000e+00
130.990000 2.790000e-18 2.790000e-18 0.000000e+00
131.090000 2.680000e-18 2.680000e-18 0.000000e+00
131.170000 3.100000e-18 3.100000e-18 0.000000e+00
131.480000 2.140000e-18 2.140000e-18 0.000000e+00
131.620000 2.640000e-18 2.640000e-18 0.000000e+00
132.120000 1.530000e-18 1.530000e-18 0.000000e+00
132.410000 3.290000e-18 3.290000e-18 0.000000e+00
132.670000 3.330000e-18 3.330000e-18 0.000000e+00
132.840000 2.560000e-18 2.560000e-18 0.000000e+00
133.030000 2.830000e-18 2.830000e-18 0.000000e+00
133.220000 2.450000e-18 2.450000e-18 0.000000e+00
133.240000 3.140000e-18 3.140000e-18 0.000000e+00
133.710000 1.720000e-18 1.720000e-18 0.000000e+00
133.870000 6.200000e-18 6.200000e-18 0.000000e+00
133.970000 5.930000e-18 5.930000e-18 0.000000e+00
134.060000 8.520000e-18 8.520000e-18 0.000000e+00
134.440000 1.870000e-18 1.870000e-18 0.000000e+00
134.630000 1.260000e-18 1.260000e-18 0.000000e+00
134.930000 2.140000e-18 2.140000e-18 0.000000e+00
135.170000 7.090000e-18 7.090000e-18 0.000000e+00
135.400000 4.680000e-18 4.680000e-18 0.000000e+00
135.570000 8.830000e-18 8.830000e-18 0.000000e+00
135.940000 2.070000e-18 2.070000e-18 0.000000e+00
136.160000 1.910000e-18 1.910000e-18 0.000000e+00
136.290000 3.560000e-18 3.560000e-18 0.000000e+00
136.420000 2.710000e-18 2.710000e-18 0.000000e+00
136.580000 4.950000e-18 4.950000e-18 0.000000e+00
136.710000 3.480000e-18 3.480000e-18 0.000000e+00
136.790000 2.460000e-17 2.460000e-17 0.000000e+00
137.220000 2.330000e-18 2.330000e-18 0.000000e+00
137.350000 2.490000e-18 2.490000e-18 0.000000e+00
137.780000 1.150000e-18 1.150000e-18 0.000000e+00
138.050000 2.640000e-18 2.640000e-18 0.000000e+00
138.210000 2.540000e-17 2.540000e-17 0.000000e+00
138.750000 1.680000e-18 1.680000e-18 0.000000e+00
139.200000 8.790000e-19 8.790000e-19 0.000000e+00
139.690000 3.100000e-18 3.100000e-18 0.000000e+00
139.720000 2.860000e-17 2.860000e-17 0.000000e+00
140.000000 4.280000e-18 4.280000e-18 0.000000e+00
140.800000 7.270000e-19 7.270000e-19 0.000000e+00
141.150000 1.260000e-18 1.260000e-18 0.000000e+00
141.240000 2.530000e-17 2.530000e-17 0.000000e+00
141.660000 2.410000e-18 2.410000e-18 0.000000e+00
142.000000 2.600000e-18 2.600000e-18 0.000000e+00
142.630000 6.510000e-19 6.510000e-19 0.000000e+00
142.870000 2.140000e-18 2.140000e-18 0.000000e+00
142.900000 1.510000e-17 1.510000e-17 0.000000e+00
143.390000 1.800000e-18 1.800000e-18 0.000000e+00
144.430000 8.430000e-19 8.430000e-19 0.000000e+00
144.680000 1.300000e-18 1.300000e-18 0.000000e+00
144.770000 1.120000e-17 1.120000e-17 0.000000e+00
145.050000 1.530000e-18 1.530000e-18 0.000000e+00
146.300000 5.350000e-19 5.350000e-19 0.000000e+00
146.480000 1.220000e-18 1.220000e-18 0.000000e+00
146.600000 5.930000e-18 5.930000e-18 0.000000e+00
146.810000 1.650000e-18 1.650000e-18 0.000000e+00
147.070000 8.430000e-19 8.430000e-19 0.000000e+00
148.300000 5.760000e-19 5.760000e-19 0.000000e+00
148.450000 3.710000e-18 3.710000e-18 0.000000e+00
148.600000 7.630000e-19 7.630000e-19 0.000000e+00
150.230000 6.870000e-19 6.870000e-19 0.000000e+00
150.310000 1.870000e-18 1.870000e-18 0.000000e+00
150.560000 4.210000e-19 4.210000e-19 0.000000e+00
152.270000 4.950000e-19 4.950000e-19 0.000000e+00
152.400000 7.630000e-19 7.630000e-19 0.000000e+00
152.540000 4.600000e-19 4.600000e-19 0.000000e+00
155.000000 3.820000e-19 3.820000e-19 0.000000e+00
156.100000 2.530000e-19 2.530000e-19 0.000000e+00
156.450000 2.650000e-19 2.650000e-19 0.000000e+00
156.750000 2.100000e-19 2.100000e-19 0.000000e+00
157.550000 2.900000e-19 2.900000e-19 0.000000e+00
158.700000 1.710000e-19 1.710000e-19 0.000000e+00
159.200000 2.650000e-19 2.650000e-19 0.000000e+00
160.700000 1.390000e-19 1.390000e-19 0.000000e+00
161.350000 2.650000e-19 2.650000e-19 0.000000e+00
162.500000 1.050000e-19 1.050000e-19 0.000000e+00
163.250000 2.360000e-19 2.360000e-19 0.000000e+00
164.500000 6.340000e-20 6.340000e-20 0.000000e+00
165.250000 2.010000e-19 2.010000e-19 0.000000e+00
166.600000 4.600000e-20 4.600000e-20 0.000000e+00
167.050000 1.960000e-19 1.960000e-19 0.000000e+00
167.300000 1.450000e-19 1.450000e-19 0.000000e+00
167.600000 1.420000e-19 1.420000e-19 0.000000e+00
168.400000 4.280000e-20 4.280000e-20 0.000000e+00
168.450000 5.040000e-20 5.040000e-20 0.000000e+00
168.800000 3.110000e-20 3.110000e-20 0.000000e+00
169.050000 1.030000e-19 1.030000e-19 0.000000e+00
169.150000 9.190000e-20 9.190000e-20 0.000000e+00
169.350000 1.710000e-19 1.710000e-19 0.000000e+00
170.800000 1.590000e-20 1.590000e-20 0.000000e+00
171.050000 3.030000e-20 3.030000e-20 0.000000e+00
171.150000 2.410000e-20 2.410000e-20 0.000000e+00
171.400000 1.330000e-19 1.330000e-19 0.000000e+00
171.600000 5.260000e-20 5.260000e-20 0.000000e+00
171.850000 1.300000e-19 1.300000e-19 0.000000e+00
172.300000 2.360000e-20 2.360000e-20 0.000000e+00
172.600000 4.460000e-20 4.460000e-20 0.000000e+00
173.450000 1.050000e-20 1.050000e-20 0.000000e+00
173.850000 1.270000e-19 1.270000e-19 0.000000e+00
174.250000 2.250000e-20 2.250000e-20 0.000000e+00
174.400000 9.190000e-20 9.190000e-20 0.000000e+00
175.150000 1.000000e-20 1.000000e-20 0.000000e+00
175.450000 2.360000e-20 2.360000e-20 0.000000e+00
175.950000 6.830000e-21 6.830000e-21 0.000000e+00
176.250000 1.000000e-19 1.000000e-19 0.000000e+00
176.900000 7.990000e-21 7.990000e-21 0.000000e+00
177.150000 5.260000e-20 5.260000e-20 0.000000e+00
177.450000 7.320000e-21 7.320000e-21 0.000000e+00
178.000000 5.260000e-21 5.260000e-21 0.000000e+00
178.150000 1.330000e-20 1.330000e-20 0.000000e+00
178.550000 2.100000e-21 2.100000e-21 0.000000e+00
178.750000 6.510000e-21 6.510000e-21 0.000000e+00
178.850000 5.400000e-21 5.400000e-21 0.000000e+00
178.950000 4.460000e-20 4.460000e-20 0.000000e+00
179.250000 5.180000e-21 5.180000e-21 0.000000e+00
179.300000 8.970000e-21 8.970000e-21 0.000000e+00
179.700000 1.630000e-21 1.630000e-21 0.000000e+00
179.900000 2.010000e-20 2.010000e-20 0.000000e+00
180.250000 1.750000e-21 1.750000e-21 0.000000e+00
180.500000 3.900000e-21 3.900000e-21 0.000000e+00
180.800000 2.650000e-21 2.650000e-21 0.000000e+00
180.850000 7.450000e-21 7.450000e-21 0.000000e+00
181.250000 2.410000e-21 2.410000e-21 0.000000e+00
181.450000 6.200000e-21 6.200000e-21 0.000000e+00
181.700000 2.900000e-21 2.900000e-21 0.000000e+00
181.850000 1.000000e-20 1.000000e-20 0.000000e+00
182.250000 2.470000e-21 2.470000e-21 0.000000e+00
182.350000 4.600000e-21 4.600000e-21 0.000000e+00
182.650000 1.330000e-21 1.330000e-21 0.000000e+00
182.900000 4.950000e-21 4.950000e-21 0.000000e+00
183.400000 1.050000e-21 1.050000e-21 0.000000e+00
183.600000 1.490000e-21 1.490000e-21 0.000000e+00
183.750000 1.100000e-21 1.100000e-21 0.000000e+00
183.950000 3.410000e-21 3.410000e-21 0.000000e+00
184.100000 1.130000e-21 1.130000e-21 0.000000e+00
184.350000 3.330000e-21 3.330000e-21 0.000000e+00
184.550000 1.240000e-21 1.240000e-21 0.000000e+00
184.850000 5.760000e-21 5.760000e-21 0.000000e+00
185.250000 1.450000e-21 1.450000e-21 0.000000e+00
185.500000 2.010000e-21 2.010000e-21 0.000000e+00
185.900000 8.390000e-22 8.390000e-22 0.000000e+00
186.100000 1.520000e-21 1.520000e-21 0.000000e+00
186.450000 5.530000e-22 5.530000e-22 0.000000e+00
186.600000 9.590000e-22 9.590000e-22 0.000000e+00
186.850000 4.460000e-22 4.460000e-22 0.000000e+00
187.050000 1.910000e-21 1.910000e-21 0.000000e+00
187.250000 6.960000e-22 6.960000e-22 0.000000e+00
187.400000 1.590000e-21 1.590000e-21 0.000000e+00
187.650000 4.950000e-22 4.950000e-22 0.000000e+00
188.050000 1.910000e-21 1.910000e-21 0.000000e+00
188.550000 3.330000e-22 3.330000e-22 0.000000e+00
188.650000 4.600000e-22 4.600000e-22 0.000000e+00
189.000000 2.710000e-22 2.710000e-22 0.000000e+00
189.150000 3.330000e-22 3.330000e-22 0.000000e+00
189.500000 2.150000e-22 2.150000e-22 0.000000e+00
189.800000 3.650000e-22 3.650000e-22 0.000000e+00
190.050000 2.710000e-22 2.710000e-22 0.000000e+00
190.250000 5.400000e-22 5.400000e-22 0.000000e+00
190.500000 3.650000e-22 3.650000e-22 0.000000e+00
190.700000 6.830000e-22 6.830000e-22 0.000000e+00
191.200000 2.710000e-22 2.710000e-22 0.000000e+00
191.450000 5.180000e-22 5.180000e-22 0.000000e+00
191.900000 1.630000e-22 1.630000e-22 0.000000e+00
192.350000 1.560000e-22 1.560000e-22 0.000000e+00
192.550000 2.360000e-22 2.360000e-22 0.000000e+00
192.700000 1.590000e-22 1.590000e-22 0.000000e+00
193.150000 1.590000e-22 1.590000e-22 0.000000e+00
193.250000 2.150000e-22 2.150000e-22 0.000000e+00
193.650000 1.560000e-22 1.560000e-22 0.000000e+00
193.950000 2.100000e-22 2.100000e-22 0.000000e+00
194.100000 1.710000e-22 1.710000e-22 0.000000e+00
194.300000 2.150000e-22 2.150000e-22 0.000000e+00
194.700000 1.560000e-22 1.560000e-22 0.000000e+00
195.000000 1.790000e-22 1.790000e-22 0.000000e+00
