# [b'Cross sections for HNC\nHelgi Rafn Hr\xc3\xb3\xc3\xb0marsson 2022-11-24\nPhotodissociation source: Aguado+ (2017)\nPhotoionization source: Gans+ (2019)\nwavelength: (nm)\nphotoabsorption:    cross section (cm2)\nphotodissociation:  cross section (cm2)\nphotoionisation:    cross section (cm2)']
# 
# wavelength   photoabsorption photodissociation   photoionisation
  80.0000000       6.14151e-17       0.00000e+00       6.14151e-17
  82.0267549       6.14151e-17       0.00000e+00       6.14151e-17
  82.0424960       6.14047e-17       0.00000e+00       6.14047e-17
  82.0587862       6.13946e-17       0.00000e+00       6.13946e-17
  82.0745396       6.13846e-17       0.00000e+00       6.13846e-17
  82.0908425       6.13745e-17       0.00000e+00       6.13745e-17
  82.1066082       6.13645e-17       0.00000e+00       6.13645e-17
  82.1229239       6.13544e-17       0.00000e+00       6.13544e-17
  82.1387019       6.13444e-17       0.00000e+00       6.13444e-17
  82.1550304       6.13343e-17       0.00000e+00       6.13343e-17
  82.1708207       6.13243e-17       0.00000e+00       6.13243e-17
  82.1871620       6.13142e-17       0.00000e+00       6.13142e-17
  82.2029647       6.13042e-17       0.00000e+00       6.13042e-17
  82.2193187       6.12941e-17       0.00000e+00       6.12941e-17
  82.2351338       6.12841e-17       0.00000e+00       6.12841e-17
  82.2515006       6.12740e-17       0.00000e+00       6.12740e-17
  82.2673281       6.12640e-17       0.00000e+00       6.12640e-17
  82.2837077       6.12534e-17       0.00000e+00       6.12534e-17
  82.2995476       6.12428e-17       0.00000e+00       6.12428e-17
  82.3159401       6.12322e-17       0.00000e+00       6.12322e-17
  82.3317924       6.12210e-17       0.00000e+00       6.12210e-17
  82.3481977       6.12098e-17       0.00000e+00       6.12098e-17
  82.3640624       6.11987e-17       0.00000e+00       6.11987e-17
  82.3804806       6.11870e-17       0.00000e+00       6.11870e-17
  82.3963577       6.11752e-17       0.00000e+00       6.11752e-17
  82.4127888       6.11635e-17       0.00000e+00       6.11635e-17
  82.4286784       6.11518e-17       0.00000e+00       6.11518e-17
