# wavelength   photoabsorption photodissociation   photoionization
1.24978418e+03 0.00000000e+00 1.27183349e-17 0.00000000e+00
1.25061755e+03 0.00000000e+00 1.26849976e-17 0.00000000e+00
1.25145166e+03 0.00000000e+00 1.26516943e-17 0.00000000e+00
1.25228613e+03 0.00000000e+00 1.26184398e-17 0.00000000e+00
1.25312134e+03 0.00000000e+00 1.25852196e-17 0.00000000e+00
1.25395691e+03 0.00000000e+00 1.25520483e-17 0.00000000e+00
1.25479309e+03 0.00000000e+00 1.25189161e-17 0.00000000e+00
1.25562988e+03 0.00000000e+00 1.24858234e-17 0.00000000e+00
1.25646729e+03 0.00000000e+00 1.24527700e-17 0.00000000e+00
1.25730518e+03 0.00000000e+00 1.24197609e-17 0.00000000e+00
1.25814355e+03 0.00000000e+00 1.23867961e-17 0.00000000e+00
1.25898254e+03 0.00000000e+00 1.23538709e-17 0.00000000e+00
1.25982214e+03 0.00000000e+00 1.23209854e-17 0.00000000e+00
1.26066235e+03 0.00000000e+00 1.22881397e-17 0.00000000e+00
1.26150305e+03 0.00000000e+00 1.22553386e-17 0.00000000e+00
1.26234436e+03 0.00000000e+00 1.22225774e-17 0.00000000e+00
1.26318616e+03 0.00000000e+00 1.21898608e-17 0.00000000e+00
1.26402844e+03 0.00000000e+00 1.21571891e-17 0.00000000e+00
1.26487146e+03 0.00000000e+00 1.21245527e-17 0.00000000e+00
1.26571484e+03 0.00000000e+00 1.20919660e-17 0.00000000e+00
1.26655896e+03 0.00000000e+00 1.20594148e-17 0.00000000e+00
1.26740356e+03 0.00000000e+00 1.20269086e-17 0.00000000e+00
1.26824878e+03 0.00000000e+00 1.19944428e-17 0.00000000e+00
1.26909448e+03 0.00000000e+00 1.19620221e-17 0.00000000e+00
1.26994092e+03 0.00000000e+00 1.19296373e-17 0.00000000e+00
1.27078772e+03 0.00000000e+00 1.18973025e-17 0.00000000e+00
1.27163525e+03 0.00000000e+00 1.18650036e-17 0.00000000e+00
1.27248315e+03 0.00000000e+00 1.18327548e-17 0.00000000e+00
1.27333179e+03 0.00000000e+00 1.18005422e-17 0.00000000e+00
1.27418091e+03 0.00000000e+00 1.17683750e-17 0.00000000e+00
1.27503064e+03 0.00000000e+00 1.17362489e-17 0.00000000e+00
1.27588086e+03 0.00000000e+00 1.17041683e-17 0.00000000e+00
1.27673169e+03 0.00000000e+00 1.16721288e-17 0.00000000e+00
1.27758325e+03 0.00000000e+00 1.16401259e-17 0.00000000e+00
1.27843506e+03 0.00000000e+00 1.16081780e-17 0.00000000e+00
1.27928772e+03 0.00000000e+00 1.15762623e-17 0.00000000e+00
1.28014075e+03 0.00000000e+00 1.15443970e-17 0.00000000e+00
1.28099451e+03 0.00000000e+00 1.15125686e-17 0.00000000e+00
1.28184875e+03 0.00000000e+00 1.14807862e-17 0.00000000e+00
1.28270361e+03 0.00000000e+00 1.14490455e-17 0.00000000e+00
1.28355896e+03 0.00000000e+00 1.14173509e-17 0.00000000e+00
1.28441492e+03 0.00000000e+00 1.13856980e-17 0.00000000e+00
1.28527136e+03 0.00000000e+00 1.13540914e-17 0.00000000e+00
1.28612854e+03 0.00000000e+00 1.13225221e-17 0.00000000e+00
1.28698621e+03 0.00000000e+00 1.12909992e-17 0.00000000e+00
1.28784448e+03 0.00000000e+00 1.12595183e-17 0.00000000e+00
1.28870325e+03 0.00000000e+00 1.12280840e-17 0.00000000e+00
1.28956274e+03 0.00000000e+00 1.11966873e-17 0.00000000e+00
1.29042261e+03 0.00000000e+00 1.11653417e-17 0.00000000e+00
1.29128320e+03 0.00000000e+00 1.11340339e-17 0.00000000e+00
1.29214429e+03 0.00000000e+00 1.11027728e-17 0.00000000e+00
1.29300598e+03 0.00000000e+00 1.10715542e-17 0.00000000e+00
1.29386829e+03 0.00000000e+00 1.10403779e-17 0.00000000e+00
1.29473108e+03 0.00000000e+00 1.10092487e-17 0.00000000e+00
1.29559448e+03 0.00000000e+00 1.09781620e-17 0.00000000e+00
1.29645850e+03 0.00000000e+00 1.09471179e-17 0.00000000e+00
1.29732312e+03 0.00000000e+00 1.09161166e-17 0.00000000e+00
1.29818823e+03 0.00000000e+00 1.08851625e-17 0.00000000e+00
1.29905396e+03 0.00000000e+00 1.08542512e-17 0.00000000e+00
1.29992017e+03 0.00000000e+00 1.08233872e-17 0.00000000e+00
1.30078711e+03 0.00000000e+00 1.07925618e-17 0.00000000e+00
1.30165454e+03 0.00000000e+00 1.07617838e-17 0.00000000e+00
