# wavelength   photoabsorption photodissociation   photoionization
1.24978418e+03 0.00000000e+00 1.43370422e-17 0.00000000e+00
1.25061755e+03 0.00000000e+00 1.47132197e-17 0.00000000e+00
1.25145166e+03 0.00000000e+00 1.50892247e-17 0.00000000e+00
1.25228613e+03 0.00000000e+00 1.54601560e-17 0.00000000e+00
1.25312134e+03 0.00000000e+00 1.58214201e-17 0.00000000e+00
1.25395691e+03 0.00000000e+00 1.61680850e-17 0.00000000e+00
1.25479309e+03 0.00000000e+00 1.64954627e-17 0.00000000e+00
1.25562988e+03 0.00000000e+00 1.67987369e-17 0.00000000e+00
1.25646729e+03 0.00000000e+00 1.70730706e-17 0.00000000e+00
1.25730518e+03 0.00000000e+00 1.73135733e-17 0.00000000e+00
1.25814355e+03 0.00000000e+00 1.75153840e-17 0.00000000e+00
1.25898254e+03 0.00000000e+00 1.76736442e-17 0.00000000e+00
1.25982214e+03 0.00000000e+00 1.77834371e-17 0.00000000e+00
1.26066235e+03 0.00000000e+00 1.78566566e-17 0.00000000e+00
1.26150305e+03 0.00000000e+00 1.79270463e-17 0.00000000e+00
1.26234436e+03 0.00000000e+00 1.79956694e-17 0.00000000e+00
1.26318616e+03 0.00000000e+00 1.80623897e-17 0.00000000e+00
1.26402844e+03 0.00000000e+00 1.81270814e-17 0.00000000e+00
1.26487146e+03 0.00000000e+00 1.81896356e-17 0.00000000e+00
1.26571484e+03 0.00000000e+00 1.82498977e-17 0.00000000e+00
1.26655896e+03 0.00000000e+00 1.83077660e-17 0.00000000e+00
1.26740356e+03 0.00000000e+00 1.83630946e-17 0.00000000e+00
1.26824878e+03 0.00000000e+00 1.84157627e-17 0.00000000e+00
1.26909448e+03 0.00000000e+00 1.84656332e-17 0.00000000e+00
1.26994092e+03 0.00000000e+00 1.85125899e-17 0.00000000e+00
1.27078772e+03 0.00000000e+00 1.85564820e-17 0.00000000e+00
1.27163525e+03 0.00000000e+00 1.85971976e-17 0.00000000e+00
1.27248315e+03 0.00000000e+00 1.86345877e-17 0.00000000e+00
1.27333179e+03 0.00000000e+00 1.86685365e-17 0.00000000e+00
1.27418091e+03 0.00000000e+00 1.86989010e-17 0.00000000e+00
1.27503064e+03 0.00000000e+00 1.87255527e-17 0.00000000e+00
1.27588086e+03 0.00000000e+00 1.87483542e-17 0.00000000e+00
1.27673169e+03 0.00000000e+00 1.87671751e-17 0.00000000e+00
1.27758325e+03 0.00000000e+00 1.87818818e-17 0.00000000e+00
1.27843506e+03 0.00000000e+00 1.87923317e-17 0.00000000e+00
1.27928772e+03 0.00000000e+00 1.87983970e-17 0.00000000e+00
1.28014075e+03 0.00000000e+00 1.87999215e-17 0.00000000e+00
1.28099451e+03 0.00000000e+00 1.87961427e-17 0.00000000e+00
1.28184875e+03 0.00000000e+00 1.87869608e-17 0.00000000e+00
1.28270361e+03 0.00000000e+00 1.87727386e-17 0.00000000e+00
1.28355896e+03 0.00000000e+00 1.87538435e-17 0.00000000e+00
1.28441492e+03 0.00000000e+00 1.87306397e-17 0.00000000e+00
1.28527136e+03 0.00000000e+00 1.87034989e-17 0.00000000e+00
1.28612854e+03 0.00000000e+00 1.86727824e-17 0.00000000e+00
1.28698621e+03 0.00000000e+00 1.86388695e-17 0.00000000e+00
1.28784448e+03 0.00000000e+00 1.86021283e-17 0.00000000e+00
1.28870325e+03 0.00000000e+00 1.85629381e-17 0.00000000e+00
1.28956274e+03 0.00000000e+00 1.85216632e-17 0.00000000e+00
