# wavelength   photoabsorption photodissociation   photoionization
1.24978416e+02 0.00000000e+00 1.04644789e-17 0.00000000e+00
1.25061752e+02 0.00000000e+00 1.05051042e-17 0.00000000e+00
1.25145164e+02 0.00000000e+00 1.05457486e-17 0.00000000e+00
1.25228615e+02 0.00000000e+00 1.05863713e-17 0.00000000e+00
1.25312134e+02 0.00000000e+00 1.06269676e-17 0.00000000e+00
1.25395691e+02 0.00000000e+00 1.06674966e-17 0.00000000e+00
1.25479309e+02 0.00000000e+00 1.07079474e-17 0.00000000e+00
1.25562988e+02 0.00000000e+00 1.07482969e-17 0.00000000e+00
1.25646729e+02 0.00000000e+00 1.07885219e-17 0.00000000e+00
1.25730515e+02 0.00000000e+00 1.08285933e-17 0.00000000e+00
1.25814354e+02 0.00000000e+00 1.08684878e-17 0.00000000e+00
1.25898254e+02 0.00000000e+00 1.09081880e-17 0.00000000e+00
1.25982216e+02 0.00000000e+00 1.09476701e-17 0.00000000e+00
1.26066238e+02 0.00000000e+00 1.09869106e-17 0.00000000e+00
1.26150307e+02 0.00000000e+00 1.10258801e-17 0.00000000e+00
1.26234436e+02 0.00000000e+00 1.10645605e-17 0.00000000e+00
1.26318619e+02 0.00000000e+00 1.11029222e-17 0.00000000e+00
1.26402847e+02 0.00000000e+00 1.11409415e-17 0.00000000e+00
1.26487144e+02 0.00000000e+00 1.11786052e-17 0.00000000e+00
1.26571487e+02 0.00000000e+00 1.12158728e-17 0.00000000e+00
1.26655899e+02 0.00000000e+00 1.12527362e-17 0.00000000e+00
1.26740356e+02 0.00000000e+00 1.12891604e-17 0.00000000e+00
1.26824875e+02 0.00000000e+00 1.13251262e-17 0.00000000e+00
1.26909447e+02 0.00000000e+00 1.13606039e-17 0.00000000e+00
1.26994095e+02 0.00000000e+00 1.13955790e-17 0.00000000e+00
1.27078773e+02 0.00000000e+00 1.14300118e-17 0.00000000e+00
1.27163528e+02 0.00000000e+00 1.14638921e-17 0.00000000e+00
1.27248314e+02 0.00000000e+00 1.14971807e-17 0.00000000e+00
1.27333176e+02 0.00000000e+00 1.15298667e-17 0.00000000e+00
1.27418091e+02 0.00000000e+00 1.15619157e-17 0.00000000e+00
1.27503067e+02 0.00000000e+00 1.15933071e-17 0.00000000e+00
1.27588089e+02 0.00000000e+00 1.16240110e-17 0.00000000e+00
1.27673172e+02 0.00000000e+00 1.16540065e-17 0.00000000e+00
1.27758324e+02 0.00000000e+00 1.16832722e-17 0.00000000e+00
1.27843506e+02 0.00000000e+00 1.17117658e-17 0.00000000e+00
1.27928772e+02 0.00000000e+00 1.17394821e-17 0.00000000e+00
1.28014069e+02 0.00000000e+00 1.17663794e-17 0.00000000e+00
1.28099457e+02 0.00000000e+00 1.17924434e-17 0.00000000e+00
1.28184875e+02 0.00000000e+00 1.18176403e-17 0.00000000e+00
1.28270355e+02 0.00000000e+00 1.18419479e-17 0.00000000e+00
1.28355896e+02 0.00000000e+00 1.18653365e-17 0.00000000e+00
1.28441498e+02 0.00000000e+00 1.18877832e-17 0.00000000e+00
1.28527130e+02 0.00000000e+00 1.19092586e-17 0.00000000e+00
1.28612854e+02 0.00000000e+00 1.19297419e-17 0.00000000e+00
1.28698624e+02 0.00000000e+00 1.19492008e-17 0.00000000e+00
1.28784454e+02 0.00000000e+00 1.19676114e-17 0.00000000e+00
1.28870331e+02 0.00000000e+00 1.19849442e-17 0.00000000e+00
1.28956268e+02 0.00000000e+00 1.20011773e-17 0.00000000e+00
1.29042267e+02 0.00000000e+00 1.20162766e-17 0.00000000e+00
1.29128326e+02 0.00000000e+00 1.20302218e-17 0.00000000e+00
1.29214432e+02 0.00000000e+00 1.20429814e-17 0.00000000e+00
1.29300598e+02 0.00000000e+00 1.20545301e-17 0.00000000e+00
1.29386826e+02 0.00000000e+00 1.20648402e-17 0.00000000e+00
1.29473114e+02 0.00000000e+00 1.20738829e-17 0.00000000e+00
1.29559448e+02 0.00000000e+00 1.20816321e-17 0.00000000e+00
1.29645844e+02 0.00000000e+00 1.20880597e-17 0.00000000e+00
1.29732315e+02 0.00000000e+00 1.20931378e-17 0.00000000e+00
1.29818817e+02 0.00000000e+00 1.20968379e-17 0.00000000e+00
1.29905396e+02 0.00000000e+00 1.20991325e-17 0.00000000e+00
1.29992020e+02 0.00000000e+00 1.20999934e-17 0.00000000e+00
