#pseudo-Leiden file converted from MPI-Mainz UV/VIS Spectral Atlas data
#reaction: N2H4 -> N2H3 + H
#source: Biehl & Stuhl (1991), 298K, 105-240nm
#https://www.uv-vis-spectral-atlas-mainz.org/uvvis/
#total absorption cross section used for both photoabsorption and
#photodissociation columns (single dissociation channel; no photoionization data)
#wavelength(nm) photoabsorption(cm2) photodissociation(cm2) photoionization(cm2)
105.058000 2.720000e-17 2.720000e-17 0.000000e+00
106.150000 2.578000e-17 2.578000e-17 0.000000e+00
106.842000 2.409000e-17 2.409000e-17 0.000000e+00
107.356000 2.271000e-17 2.271000e-17 0.000000e+00
108.253000 2.126000e-17 2.126000e-17 0.000000e+00
109.438000 1.975000e-17 1.975000e-17 0.000000e+00
110.902000 1.803000e-17 1.803000e-17 0.000000e+00
112.755000 1.633000e-17 1.633000e-17 0.000000e+00
116.251000 1.463000e-17 1.463000e-17 0.000000e+00
118.909000 1.357000e-17 1.357000e-17 0.000000e+00
121.391000 1.289000e-17 1.289000e-17 0.000000e+00
124.924000 1.195000e-17 1.195000e-17 0.000000e+00
129.712000 1.095000e-17 1.095000e-17 0.000000e+00
134.121000 1.010000e-17 1.010000e-17 0.000000e+00
137.368000 9.227000e-18 9.227000e-18 0.000000e+00
139.829000 8.111000e-18 8.111000e-18 0.000000e+00
142.324000 7.702000e-18 7.702000e-18 0.000000e+00
145.237000 7.935000e-18 7.935000e-18 0.000000e+00
149.113000 8.072000e-18 8.072000e-18 0.000000e+00
152.977000 7.964000e-18 7.964000e-18 0.000000e+00
156.927000 7.640000e-18 7.640000e-18 0.000000e+00
159.720000 7.382000e-18 7.382000e-18 0.000000e+00
162.938000 7.921000e-18 7.921000e-18 0.000000e+00
165.197000 8.618000e-18 8.618000e-18 0.000000e+00
169.940000 8.690000e-18 8.690000e-18 0.000000e+00
172.800000 7.818000e-18 7.818000e-18 0.000000e+00
174.881000 6.858000e-18 6.858000e-18 0.000000e+00
178.981000 5.612000e-18 5.612000e-18 0.000000e+00
181.769000 5.263000e-18 5.263000e-18 0.000000e+00
185.350000 5.309000e-18 5.309000e-18 0.000000e+00
188.658000 5.694000e-18 5.694000e-18 0.000000e+00
190.892000 5.899000e-18 5.899000e-18 0.000000e+00
193.501000 5.827000e-18 5.827000e-18 0.000000e+00
196.466000 5.139000e-18 5.139000e-18 0.000000e+00
201.620000 3.705000e-18 3.705000e-18 0.000000e+00
209.406000 2.689000e-18 2.689000e-18 0.000000e+00
209.693000 2.661000e-18 2.661000e-18 0.000000e+00
214.400000 1.932000e-18 1.932000e-18 0.000000e+00
219.304000 1.327000e-18 1.327000e-18 0.000000e+00
228.259000 5.269000e-19 5.269000e-19 0.000000e+00
228.357000 5.215000e-19 5.215000e-19 0.000000e+00
235.306000 1.850000e-19 1.850000e-19 0.000000e+00
239.945000 1.040000e-19 1.040000e-19 0.000000e+00
