# wavelength   photoabsorption photodissociation   photoionization
1.24978416e+02 0.00000000e+00 5.39355736e-17 0.00000000e+00
1.25061752e+02 0.00000000e+00 5.53670817e-17 0.00000000e+00
1.25145164e+02 0.00000000e+00 5.67543957e-17 0.00000000e+00
1.25228615e+02 0.00000000e+00 5.80825681e-17 0.00000000e+00
1.25312134e+02 0.00000000e+00 5.93377826e-17 0.00000000e+00
1.25395691e+02 0.00000000e+00 6.05050374e-17 0.00000000e+00
1.25479309e+02 0.00000000e+00 6.15701846e-17 0.00000000e+00
1.25562988e+02 0.00000000e+00 6.25186351e-17 0.00000000e+00
1.25646729e+02 0.00000000e+00 6.33357365e-17 0.00000000e+00
1.25730515e+02 0.00000000e+00 6.40066868e-17 0.00000000e+00
1.25814354e+02 0.00000000e+00 6.45167810e-17 0.00000000e+00
1.25898254e+02 0.00000000e+00 6.48512983e-17 0.00000000e+00
1.25982216e+02 0.00000000e+00 6.49953457e-17 0.00000000e+00
1.26066238e+02 0.00000000e+00 6.49980916e-17 0.00000000e+00
1.26150307e+02 0.00000000e+00 6.49902144e-17 0.00000000e+00
1.26234436e+02 0.00000000e+00 6.49762793e-17 0.00000000e+00
1.26318619e+02 0.00000000e+00 6.49563404e-17 0.00000000e+00
1.26402847e+02 0.00000000e+00 6.49304512e-17 0.00000000e+00
1.26487144e+02 0.00000000e+00 6.48986555e-17 0.00000000e+00
1.26571487e+02 0.00000000e+00 6.48610200e-17 0.00000000e+00
1.26655899e+02 0.00000000e+00 6.48175813e-17 0.00000000e+00
1.26740356e+02 0.00000000e+00 6.47684041e-17 0.00000000e+00
1.26824875e+02 0.00000000e+00 6.47135347e-17 0.00000000e+00
1.26909447e+02 0.00000000e+00 6.46530349e-17 0.00000000e+00
1.26994095e+02 0.00000000e+00 6.45869402e-17 0.00000000e+00
1.27078773e+02 0.00000000e+00 6.45153332e-17 0.00000000e+00
1.27163528e+02 0.00000000e+00 6.44382377e-17 0.00000000e+00
1.27248314e+02 0.00000000e+00 6.43557418e-17 0.00000000e+00
1.27333176e+02 0.00000000e+00 6.42678648e-17 0.00000000e+00
1.27418091e+02 0.00000000e+00 6.41746861e-17 0.00000000e+00
1.27503067e+02 0.00000000e+00 6.40762480e-17 0.00000000e+00
1.27588089e+02 0.00000000e+00 6.39726204e-17 0.00000000e+00
1.27673172e+02 0.00000000e+00 6.38638443e-17 0.00000000e+00
1.27758324e+02 0.00000000e+00 6.37499584e-17 0.00000000e+00
1.27843506e+02 0.00000000e+00 6.36310856e-17 0.00000000e+00
1.27928772e+02 0.00000000e+00 6.35071975e-17 0.00000000e+00
1.28014069e+02 0.00000000e+00 6.33747749e-17 0.00000000e+00
1.28099457e+02 0.00000000e+00 6.30673514e-17 0.00000000e+00
1.28184875e+02 0.00000000e+00 6.25092737e-17 0.00000000e+00
1.28270355e+02 0.00000000e+00 6.17206228e-17 0.00000000e+00
1.28355896e+02 0.00000000e+00 6.07217493e-17 0.00000000e+00
1.28441498e+02 0.00000000e+00 5.95328304e-17 0.00000000e+00
1.28527130e+02 0.00000000e+00 5.81744328e-17 0.00000000e+00
1.28612854e+02 0.00000000e+00 5.66666172e-17 0.00000000e+00
1.28698624e+02 0.00000000e+00 5.50303463e-17 0.00000000e+00
1.28784454e+02 0.00000000e+00 5.32860345e-17 0.00000000e+00
1.28870331e+02 0.00000000e+00 5.14546558e-17 0.00000000e+00
1.28956268e+02 0.00000000e+00 4.95564845e-17 0.00000000e+00
1.29042267e+02 0.00000000e+00 4.76132182e-17 0.00000000e+00
1.29128326e+02 0.00000000e+00 4.56450046e-17 0.00000000e+00
1.29214432e+02 0.00000000e+00 4.36734526e-17 0.00000000e+00
1.29300598e+02 0.00000000e+00 4.17194218e-17 0.00000000e+00
1.29386826e+02 0.00000000e+00 3.98041400e-17 0.00000000e+00
1.29473114e+02 0.00000000e+00 3.79491821e-17 0.00000000e+00
1.29559448e+02 0.00000000e+00 3.61756725e-17 0.00000000e+00
1.29645844e+02 0.00000000e+00 3.45051006e-17 0.00000000e+00
1.29732315e+02 0.00000000e+00 3.29590462e-17 0.00000000e+00
1.29818817e+02 0.00000000e+00 3.15593658e-17 0.00000000e+00
1.29905396e+02 0.00000000e+00 3.03275843e-17 0.00000000e+00
1.29992020e+02 0.00000000e+00 2.92856770e-17 0.00000000e+00
1.30078705e+02 0.00000000e+00 2.83590147e-17 0.00000000e+00
1.30165451e+02 0.00000000e+00 2.74230318e-17 0.00000000e+00
1.30252258e+02 0.00000000e+00 2.64812977e-17 0.00000000e+00
1.30339127e+02 0.00000000e+00 2.55384977e-17 0.00000000e+00
1.30426041e+02 0.00000000e+00 2.45994684e-17 0.00000000e+00
1.30513016e+02 0.00000000e+00 2.36688001e-17 0.00000000e+00
1.30600052e+02 0.00000000e+00 2.27512356e-17 0.00000000e+00
1.30687149e+02 0.00000000e+00 2.18515376e-17 0.00000000e+00
1.30774292e+02 0.00000000e+00 2.09746098e-17 0.00000000e+00
1.30861496e+02 0.00000000e+00 2.01251252e-17 0.00000000e+00
1.30948761e+02 0.00000000e+00 1.93079046e-17 0.00000000e+00
1.31036087e+02 0.00000000e+00 1.85278947e-17 0.00000000e+00
1.31123474e+02 0.00000000e+00 1.77897376e-17 0.00000000e+00
1.31210922e+02 0.00000000e+00 1.70984259e-17 0.00000000e+00
1.31298431e+02 0.00000000e+00 1.64589461e-17 0.00000000e+00
1.31385971e+02 0.00000000e+00 1.58761942e-17 0.00000000e+00
1.31473587e+02 0.00000000e+00 1.53550148e-17 0.00000000e+00
1.31561264e+02 0.00000000e+00 1.49003069e-17 0.00000000e+00
1.31649002e+02 0.00000000e+00 1.45171754e-17 0.00000000e+00
1.31736801e+02 0.00000000e+00 1.42105135e-17 0.00000000e+00
1.31824646e+02 0.00000000e+00 1.39854506e-17 0.00000000e+00
1.31912567e+02 0.00000000e+00 1.38469145e-17 0.00000000e+00
1.32000519e+02 0.00000000e+00 1.38000021e-17 0.00000000e+00
1.32088547e+02 0.00000000e+00 1.38650620e-17 0.00000000e+00
1.32176636e+02 0.00000000e+00 1.40510548e-17 0.00000000e+00
1.32264786e+02 0.00000000e+00 1.43465322e-17 0.00000000e+00
1.32352982e+02 0.00000000e+00 1.47399370e-17 0.00000000e+00
1.32441254e+02 0.00000000e+00 1.52198343e-17 0.00000000e+00
