# [b'Cross sections for NH2\rConverted from earlier Leiden database cross sections by Helgi Rafn Hr\xc3\xb3\xc3\xb0marsson 2022-11-24\rPhotodissociation source: NH2 Saxon+(1983),  Koch (1997)\rPhotoionization: Harper+(2021)\rwavelength: (nm)\rphotoabsorption:    cross section (cm2)\rphotodissociation:  cross section (cm2)']
# 
# wavelength   photoabsorption photodissociation   photoionisation
  75.0000000       9.50978e-18       0.00000e+00       9.50978e-18
  75.0100000       9.50978e-18       0.00000e+00       9.50978e-18
  75.0200000       9.50978e-18       0.00000e+00       9.50978e-18
  75.0300000       9.50978e-18       0.00000e+00       9.50978e-18
  75.0400000       9.50978e-18       0.00000e+00       9.50978e-18
  75.0500000       9.50978e-18       0.00000e+00       9.50978e-18
  75.0600000       9.50978e-18       0.00000e+00       9.50978e-18
  75.0700000       9.50978e-18       0.00000e+00       9.50978e-18
  75.0800000       9.50978e-18       0.00000e+00       9.50978e-18
  75.0900000       9.50978e-18       0.00000e+00       9.50978e-18
  75.1000000       9.50978e-18       0.00000e+00       9.50978e-18
  75.1100000       9.50978e-18       0.00000e+00       9.50978e-18
  75.1200000       9.50978e-18       0.00000e+00       9.50978e-18
  75.1300000       9.50978e-18       0.00000e+00       9.50978e-18
  75.1400000       9.50978e-18       0.00000e+00       9.50978e-18
  75.1500000       9.50978e-18       0.00000e+00       9.50978e-18
  75.1600000       9.50978e-18       0.00000e+00       9.50978e-18
  75.1700000       9.50978e-18       0.00000e+00       9.50978e-18
  75.1800000       9.50978e-18       0.00000e+00       9.50978e-18
  75.1900000       9.50978e-18       0.00000e+00       9.50978e-18
  75.2000000       9.50978e-18       0.00000e+00       9.50978e-18
  75.2100000       9.50978e-18       0.00000e+00       9.50978e-18
  75.2200000       9.50978e-18       0.00000e+00       9.50978e-18
  75.2300000       9.50978e-18       0.00000e+00       9.50978e-18
  75.2400000       9.50978e-18       0.00000e+00       9.50978e-18
  75.2500000       9.50978e-18       0.00000e+00       9.50978e-18
  75.2600000       9.50978e-18       0.00000e+00       9.50978e-18
  75.2700000       9.50978e-18       0.00000e+00       9.50978e-18
  75.2800000       9.50978e-18       0.00000e+00       9.50978e-18
  75.2900000       9.50978e-18       0.00000e+00       9.50978e-18
  75.3000000       9.50978e-18       0.00000e+00       9.50978e-18
  75.3100000       9.50978e-18       0.00000e+00       9.50978e-18
  75.3200000       9.50978e-18       0.00000e+00       9.50978e-18
  75.3300000       9.50978e-18       0.00000e+00       9.50978e-18
  75.3400000       9.50978e-18       0.00000e+00       9.50978e-18
  75.3500000       9.50978e-18       0.00000e+00       9.50978e-18
  75.3600000       9.50978e-18       0.00000e+00       9.50978e-18
  75.3700000       9.50978e-18       0.00000e+00       9.50978e-18
  75.3800000       9.50978e-18       0.00000e+00       9.50978e-18
  75.3900000       9.50978e-18       0.00000e+00       9.50978e-18
  75.4000000       9.50978e-18       0.00000e+00       9.50978e-18
  75.4100000       9.50978e-18       0.00000e+00       9.50978e-18
  75.4200000       9.50978e-18       0.00000e+00       9.50978e-18
  75.4300000       9.50978e-18       0.00000e+00       9.50978e-18
  75.4400000       9.50978e-18       0.00000e+00       9.50978e-18
  75.4500000       9.50978e-18       0.00000e+00       9.50978e-18
  75.4600000       9.50978e-18       0.00000e+00       9.50978e-18
  75.4700000       9.50978e-18       0.00000e+00       9.50978e-18
  75.4800000       9.50978e-18       0.00000e+00       9.50978e-18
  75.4900000       9.50978e-18       0.00000e+00       9.50978e-18
  75.5000000       9.50978e-18       0.00000e+00       9.50978e-18
  75.5100000       9.50978e-18       0.00000e+00       9.50978e-18
  75.5200000       9.50978e-18       0.00000e+00       9.50978e-18
  75.5300000       9.50978e-18       0.00000e+00       9.50978e-18
  75.5400000       9.50978e-18       0.00000e+00       9.50978e-18
  75.5500000       9.50978e-18       0.00000e+00       9.50978e-18
  75.5600000       9.50978e-18       0.00000e+00       9.50978e-18
  75.5700000       9.50978e-18       0.00000e+00       9.50978e-18
  75.5800000       9.50978e-18       0.00000e+00       9.50978e-18
  75.5900000       9.50978e-18       0.00000e+00       9.50978e-18
  75.6000000       9.50978e-18       0.00000e+00       9.50978e-18
  75.6100000       9.50978e-18       0.00000e+00       9.50978e-18
  75.6200000       9.50978e-18       0.00000e+00       9.50978e-18
  75.6300000       9.50978e-18       0.00000e+00       9.50978e-18
  75.6400000       9.50978e-18       0.00000e+00       9.50978e-18
  75.6500000       9.50978e-18       0.00000e+00       9.50978e-18
  75.6600000       9.50978e-18       0.00000e+00       9.50978e-18
  75.6700000       9.50978e-18       0.00000e+00       9.50978e-18
  75.6800000       9.50978e-18       0.00000e+00       9.50978e-18
  75.6900000       9.50978e-18       0.00000e+00       9.50978e-18
  75.7000000       9.50978e-18       0.00000e+00       9.50978e-18
  75.7100000       9.50978e-18       0.00000e+00       9.50978e-18
  75.7200000       9.50978e-18       0.00000e+00       9.50978e-18
  75.7300000       9.50978e-18       0.00000e+00       9.50978e-18
  75.7400000       9.50978e-18       0.00000e+00       9.50978e-18
  75.7500000       9.50978e-18       0.00000e+00       9.50978e-18
  75.7600000       9.50978e-18       0.00000e+00       9.50978e-18
  75.7700000       9.50978e-18       0.00000e+00       9.50978e-18
  75.7800000       9.50978e-18       0.00000e+00       9.50978e-18
  75.7900000       9.50978e-18       0.00000e+00       9.50978e-18
  75.8000000       9.50978e-18       0.00000e+00       9.50978e-18
  75.8100000       9.50978e-18       0.00000e+00       9.50978e-18
  75.8200000       9.50978e-18       0.00000e+00       9.50978e-18
  75.8300000       9.50978e-18       0.00000e+00       9.50978e-18
  75.8400000       9.50978e-18       0.00000e+00       9.50978e-18
  75.8500000       9.50978e-18       0.00000e+00       9.50978e-18
  75.8600000       9.50978e-18       0.00000e+00       9.50978e-18
  75.8700000       9.50978e-18       0.00000e+00       9.50978e-18
  75.8800000       9.50978e-18       0.00000e+00       9.50978e-18
  75.8900000       9.50978e-18       0.00000e+00       9.50978e-18
  75.9000000       9.50978e-18       0.00000e+00       9.50978e-18
  75.9100000       9.50978e-18       0.00000e+00       9.50978e-18
  75.9200000       9.50978e-18       0.00000e+00       9.50978e-18
  75.9300000       9.50978e-18       0.00000e+00       9.50978e-18
  75.9400000       9.50978e-18       0.00000e+00       9.50978e-18
  75.9500000       9.50978e-18       0.00000e+00       9.50978e-18
  75.9600000       9.50978e-18       0.00000e+00       9.50978e-18
  75.9700000       9.50978e-18       0.00000e+00       9.50978e-18
  75.9800000       9.50978e-18       0.00000e+00       9.50978e-18
  75.9900000       9.50978e-18       0.00000e+00       9.50978e-18
  76.0000000       9.50978e-18       0.00000e+00       9.50978e-18
  76.0100000       9.50978e-18       0.00000e+00       9.50978e-18
  76.0200000       9.50978e-18       0.00000e+00       9.50978e-18
  76.0300000       9.50978e-18       0.00000e+00       9.50978e-18
  76.0400000       9.50978e-18       0.00000e+00       9.50978e-18
  76.0500000       9.50978e-18       0.00000e+00       9.50978e-18
  76.0600000       9.50978e-18       0.00000e+00       9.50978e-18
  76.0700000       9.50978e-18       0.00000e+00       9.50978e-18
  76.0800000       9.50978e-18       0.00000e+00       9.50978e-18
  76.0900000       9.50978e-18       0.00000e+00       9.50978e-18
  76.1000000       9.50978e-18       0.00000e+00       9.50978e-18
  76.1100000       9.50978e-18       0.00000e+00       9.50978e-18
  76.1200000       9.50978e-18       0.00000e+00       9.50978e-18
  76.1300000       9.50978e-18       0.00000e+00       9.50978e-18
  76.1400000       9.50978e-18       0.00000e+00       9.50978e-18
  76.1500000       9.50978e-18       0.00000e+00       9.50978e-18
  76.1600000       9.50978e-18       0.00000e+00       9.50978e-18
  76.1700000       9.50978e-18       0.00000e+00       9.50978e-18
  76.1800000       9.50978e-18       0.00000e+00       9.50978e-18
  76.1900000       9.50978e-18       0.00000e+00       9.50978e-18
  76.2000000       9.50978e-18       0.00000e+00       9.50978e-18
  76.2100000       9.50978e-18       0.00000e+00       9.50978e-18
  76.2200000       9.50978e-18       0.00000e+00       9.50978e-18
  76.2300000       9.50978e-18       0.00000e+00       9.50978e-18
  76.2400000       9.50978e-18       0.00000e+00       9.50978e-18
  76.2500000       9.50978e-18       0.00000e+00       9.50978e-18
  76.2600000       9.50978e-18       0.00000e+00       9.50978e-18
  76.2700000       9.50978e-18       0.00000e+00       9.50978e-18
  76.2800000       9.50978e-18       0.00000e+00       9.50978e-18
  76.2900000       9.50978e-18       0.00000e+00       9.50978e-18
  76.3000000       9.50978e-18       0.00000e+00       9.50978e-18
  76.3100000       9.50978e-18       0.00000e+00       9.50978e-18
  76.3200000       9.50978e-18       0.00000e+00       9.50978e-18
  76.3300000       9.50978e-18       0.00000e+00       9.50978e-18
  76.3400000       9.50978e-18       0.00000e+00       9.50978e-18
  76.3500000       9.50978e-18       0.00000e+00       9.50978e-18
  76.3600000       9.50978e-18       0.00000e+00       9.50978e-18
  76.3700000       9.50978e-18       0.00000e+00       9.50978e-18
  76.3800000       9.50978e-18       0.00000e+00       9.50978e-18
  76.3900000       9.50978e-18       0.00000e+00       9.50978e-18
  76.4000000       9.50978e-18       0.00000e+00       9.50978e-18
  76.4100000       9.50978e-18       0.00000e+00       9.50978e-18
  76.4200000       9.50978e-18       0.00000e+00       9.50978e-18
  76.4300000       9.50978e-18       0.00000e+00       9.50978e-18
  76.4400000       9.50978e-18       0.00000e+00       9.50978e-18
  76.4500000       9.50978e-18       0.00000e+00       9.50978e-18
  76.4600000       9.50978e-18       0.00000e+00       9.50978e-18
  76.4700000       9.50978e-18       0.00000e+00       9.50978e-18
  76.4800000       9.50978e-18       0.00000e+00       9.50978e-18
  76.4900000       9.50978e-18       0.00000e+00       9.50978e-18
  76.5000000       9.50978e-18       0.00000e+00       9.50978e-18
  76.5100000       9.50978e-18       0.00000e+00       9.50978e-18
  76.5200000       9.50978e-18       0.00000e+00       9.50978e-18
  76.5300000       9.50978e-18       0.00000e+00       9.50978e-18
  76.5400000       9.50978e-18       0.00000e+00       9.50978e-18
  76.5500000       9.50978e-18       0.00000e+00       9.50978e-18
  76.5600000       9.50978e-18       0.00000e+00       9.50978e-18
  76.5700000       9.50978e-18       0.00000e+00       9.50978e-18
  76.5800000       9.50978e-18       0.00000e+00       9.50978e-18
  76.5900000       9.50978e-18       0.00000e+00       9.50978e-18
  76.6000000       9.50978e-18       0.00000e+00       9.50978e-18
  76.6100000       9.50978e-18       0.00000e+00       9.50978e-18
  76.6200000       9.50978e-18       0.00000e+00       9.50978e-18
  76.6300000       9.50978e-18       0.00000e+00       9.50978e-18
  76.6400000       9.50978e-18       0.00000e+00       9.50978e-18
  76.6500000       9.50978e-18       0.00000e+00       9.50978e-18
  76.6600000       9.50978e-18       0.00000e+00       9.50978e-18
  76.6700000       9.50978e-18       0.00000e+00       9.50978e-18
  76.6800000       9.50978e-18       0.00000e+00       9.50978e-18
  76.6900000       9.50978e-18       0.00000e+00       9.50978e-18
  76.7000000       9.50978e-18       0.00000e+00       9.50978e-18
  76.7100000       9.50978e-18       0.00000e+00       9.50978e-18
  76.7200000       9.50978e-18       0.00000e+00       9.50978e-18
  76.7300000       9.50978e-18       0.00000e+00       9.50978e-18
  76.7400000       9.50978e-18       0.00000e+00       9.50978e-18
  76.7500000       9.50978e-18       0.00000e+00       9.50978e-18
  76.7600000       9.50978e-18       0.00000e+00       9.50978e-18
  76.7700000       9.50978e-18       0.00000e+00       9.50978e-18
  76.7800000       9.50978e-18       0.00000e+00       9.50978e-18
  76.7900000       9.50978e-18       0.00000e+00       9.50978e-18
