# wavelength   photoabsorption photodissociation   photoionization
1.24978418e+03 0.00000000e+00 2.69677868e-17 0.00000000e+00
1.25061755e+03 0.00000000e+00 2.76835408e-17 0.00000000e+00
1.25145166e+03 0.00000000e+00 2.83771979e-17 0.00000000e+00
1.25228613e+03 0.00000000e+00 2.90412841e-17 0.00000000e+00
1.25312134e+03 0.00000000e+00 2.96688913e-17 0.00000000e+00
1.25395691e+03 0.00000000e+00 3.02525187e-17 0.00000000e+00
1.25479309e+03 0.00000000e+00 3.07850923e-17 0.00000000e+00
1.25562988e+03 0.00000000e+00 3.12593176e-17 0.00000000e+00
1.25646729e+03 0.00000000e+00 3.16678682e-17 0.00000000e+00
1.25730518e+03 0.00000000e+00 3.20033434e-17 0.00000000e+00
1.25814355e+03 0.00000000e+00 3.22583905e-17 0.00000000e+00
1.25898254e+03 0.00000000e+00 3.24256491e-17 0.00000000e+00
1.25982214e+03 0.00000000e+00 3.24976728e-17 0.00000000e+00
1.26066235e+03 0.00000000e+00 3.24990458e-17 0.00000000e+00
1.26150305e+03 0.00000000e+00 3.24951072e-17 0.00000000e+00
1.26234436e+03 0.00000000e+00 3.24881397e-17 0.00000000e+00
1.26318616e+03 0.00000000e+00 3.24781702e-17 0.00000000e+00
1.26402844e+03 0.00000000e+00 3.24652256e-17 0.00000000e+00
1.26487146e+03 0.00000000e+00 3.24493278e-17 0.00000000e+00
1.26571484e+03 0.00000000e+00 3.24305100e-17 0.00000000e+00
1.26655896e+03 0.00000000e+00 3.24087907e-17 0.00000000e+00
1.26740356e+03 0.00000000e+00 3.23842020e-17 0.00000000e+00
1.26824878e+03 0.00000000e+00 3.23567674e-17 0.00000000e+00
1.26909448e+03 0.00000000e+00 3.23265175e-17 0.00000000e+00
1.26994092e+03 0.00000000e+00 3.22934701e-17 0.00000000e+00
1.27078772e+03 0.00000000e+00 3.22576666e-17 0.00000000e+00
1.27163525e+03 0.00000000e+00 3.22191189e-17 0.00000000e+00
1.27248315e+03 0.00000000e+00 3.21778709e-17 0.00000000e+00
1.27333179e+03 0.00000000e+00 3.21339324e-17 0.00000000e+00
1.27418091e+03 0.00000000e+00 3.20873431e-17 0.00000000e+00
1.27503064e+03 0.00000000e+00 3.20381240e-17 0.00000000e+00
1.27588086e+03 0.00000000e+00 3.19863102e-17 0.00000000e+00
1.27673169e+03 0.00000000e+00 3.19319222e-17 0.00000000e+00
1.27758325e+03 0.00000000e+00 3.18749792e-17 0.00000000e+00
1.27843506e+03 0.00000000e+00 3.18155428e-17 0.00000000e+00
1.27928772e+03 0.00000000e+00 3.17535988e-17 0.00000000e+00
1.28014075e+03 0.00000000e+00 3.16873874e-17 0.00000000e+00
1.28099451e+03 0.00000000e+00 3.15336757e-17 0.00000000e+00
1.28184875e+03 0.00000000e+00 3.12546368e-17 0.00000000e+00
1.28270361e+03 0.00000000e+00 3.08603114e-17 0.00000000e+00
1.28355896e+03 0.00000000e+00 3.03608747e-17 0.00000000e+00
1.28441492e+03 0.00000000e+00 2.97664152e-17 0.00000000e+00
1.28527136e+03 0.00000000e+00 2.90872164e-17 0.00000000e+00
1.28612854e+03 0.00000000e+00 2.83333086e-17 0.00000000e+00
1.28698621e+03 0.00000000e+00 2.75151731e-17 0.00000000e+00
1.28784448e+03 0.00000000e+00 2.66430173e-17 0.00000000e+00
1.28870325e+03 0.00000000e+00 2.57273279e-17 0.00000000e+00
1.28956274e+03 0.00000000e+00 2.47782423e-17 0.00000000e+00
1.29042261e+03 0.00000000e+00 2.38066091e-17 0.00000000e+00
1.29128320e+03 0.00000000e+00 2.28225023e-17 0.00000000e+00
1.29214429e+03 0.00000000e+00 2.18367263e-17 0.00000000e+00
1.29300598e+03 0.00000000e+00 2.08597109e-17 0.00000000e+00
1.29386829e+03 0.00000000e+00 1.99020700e-17 0.00000000e+00
1.29473108e+03 0.00000000e+00 1.89745911e-17 0.00000000e+00
1.29559448e+03 0.00000000e+00 1.80878363e-17 0.00000000e+00
1.29645850e+03 0.00000000e+00 1.72525503e-17 0.00000000e+00
1.29732312e+03 0.00000000e+00 1.64795231e-17 0.00000000e+00
1.29818823e+03 0.00000000e+00 1.57796829e-17 0.00000000e+00
1.29905396e+03 0.00000000e+00 1.51637921e-17 0.00000000e+00
1.29992017e+03 0.00000000e+00 1.46428385e-17 0.00000000e+00
1.30078711e+03 0.00000000e+00 1.41795074e-17 0.00000000e+00
1.30165454e+03 0.00000000e+00 1.37115159e-17 0.00000000e+00
1.30252258e+03 0.00000000e+00 1.32406488e-17 0.00000000e+00
1.30339124e+03 0.00000000e+00 1.27692489e-17 0.00000000e+00
