# wavelength   photoabsorption photodissociation   photoionization
1.24978418e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25061755e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25145166e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25228613e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25312134e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25395691e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25479309e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25562988e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25646729e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25730518e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25814355e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25898254e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.25982214e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26066235e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26150305e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26234436e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26318616e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26402844e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26487146e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26571484e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26655896e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26740356e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26824878e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26909448e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.26994092e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.27078772e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.27163525e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.27248315e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.27333179e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.27418091e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.27503064e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.27588086e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.27673169e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.27758325e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.27843506e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.27928772e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.28014075e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.28099451e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.28184875e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.28270361e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.28355896e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.28441492e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.28527136e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.28612854e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.28698621e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.28784448e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
