# wavelength   photoabsorption photodissociation   photoionization
1.24978416e+02 1.31000000e-18 1.32991670e-18 0.00000000e+00
1.25061752e+02 1.43000000e-18 1.42504336e-18 0.00000000e+00
1.25145164e+02 1.07000000e-18 1.21366172e-18 0.00000000e+00
1.25228615e+02 1.07000000e-18 1.02762123e-18 0.00000000e+00
1.25312134e+02 8.44000000e-19 9.26519360e-19 0.00000000e+00
1.25395691e+02 8.44000000e-19 8.47726002e-19 0.00000000e+00
1.25479309e+02 7.51000000e-19 7.88799456e-19 0.00000000e+00
1.25562988e+02 7.51000000e-19 7.14906481e-19 0.00000000e+00
1.25646729e+02 6.73000000e-19 6.31545049e-19 0.00000000e+00
1.25730515e+02 5.17000000e-19 5.66857881e-19 0.00000000e+00
1.25814354e+02 5.17000000e-19 5.06113564e-19 0.00000000e+00
1.25898254e+02 5.17000000e-19 4.33424483e-19 0.00000000e+00
1.25982216e+02 3.83000000e-19 3.84951598e-19 0.00000000e+00
1.26066238e+02 3.83000000e-19 4.14538279e-19 0.00000000e+00
1.26150307e+02 5.06000000e-19 4.86993014e-19 0.00000000e+00
1.26234436e+02 3.64000000e-19 3.96711363e-19 0.00000000e+00
1.26318619e+02 2.90000000e-19 3.07254296e-19 0.00000000e+00
1.26402847e+02 2.45000000e-19 2.43445598e-19 0.00000000e+00
1.26487144e+02 2.01000000e-19 2.07216904e-19 0.00000000e+00
1.26571487e+02 1.65000000e-19 1.63962305e-19 0.00000000e+00
1.26655899e+02 1.51000000e-19 1.46324256e-19 0.00000000e+00
1.26740356e+02 1.28000000e-19 1.38145172e-19 0.00000000e+00
1.26824875e+02 1.28000000e-19 1.06985286e-19 0.00000000e+00
1.26909447e+02 1.11000000e-19 1.10367036e-19 0.00000000e+00
1.26994095e+02 7.80000000e-20 7.95924616e-20 0.00000000e+00
1.27078773e+02 5.90000000e-20 6.03488724e-20 0.00000000e+00
1.27163528e+02 6.80000000e-20 6.41062919e-20 0.00000000e+00
1.27248314e+02 6.80000000e-20 7.13117333e-20 0.00000000e+00
1.27333176e+02 8.20000000e-20 7.63166173e-20 0.00000000e+00
1.27418091e+02 8.20000000e-20 8.43467989e-20 0.00000000e+00
1.27503067e+02 1.31000000e-19 1.03118906e-19 0.00000000e+00
1.27588089e+02 1.31000000e-19 1.27648395e-19 0.00000000e+00
1.27673172e+02 1.31000000e-19 1.53479405e-19 0.00000000e+00
1.27758324e+02 1.95000000e-19 1.81855030e-19 0.00000000e+00
1.27843506e+02 1.95000000e-19 2.07592946e-19 0.00000000e+00
1.27928772e+02 2.52000000e-19 2.30990759e-19 0.00000000e+00
1.28014069e+02 2.52000000e-19 2.56594880e-19 0.00000000e+00
1.28099457e+02 2.52000000e-19 2.87810655e-19 0.00000000e+00
1.28184875e+02 3.24000000e-19 3.19061040e-19 0.00000000e+00
1.28270355e+02 3.53000000e-19 3.43797943e-19 0.00000000e+00
1.28355896e+02 3.53000000e-19 3.78005390e-19 0.00000000e+00
1.28441498e+02 4.04000000e-19 4.08670897e-19 0.00000000e+00
1.28527130e+02 4.33000000e-19 4.21263781e-19 0.00000000e+00
1.28612854e+02 4.33000000e-19 4.36205061e-19 0.00000000e+00
1.28698624e+02 4.33000000e-19 4.70772208e-19 0.00000000e+00
1.28784454e+02 4.99000000e-19 4.98105576e-19 0.00000000e+00
1.28870331e+02 4.99000000e-19 4.97579949e-19 0.00000000e+00
1.28956268e+02 4.94000000e-19 4.94612629e-19 0.00000000e+00
1.29042267e+02 4.94000000e-19 4.96869718e-19 0.00000000e+00
1.29128326e+02 5.33000000e-19 5.14780271e-19 0.00000000e+00
1.29214432e+02 5.33000000e-19 5.36688924e-19 0.00000000e+00
1.29300598e+02 5.89000000e-19 5.66964004e-19 0.00000000e+00
1.29386826e+02 5.89000000e-19 5.88489404e-19 0.00000000e+00
1.29473114e+02 5.89000000e-19 5.83397838e-19 0.00000000e+00
1.29559448e+02 5.62000000e-19 5.68808399e-19 0.00000000e+00
1.29645844e+02 5.62000000e-19 5.54931336e-19 0.00000000e+00
1.29732315e+02 5.27000000e-19 5.40426776e-19 0.00000000e+00
1.29818817e+02 5.27000000e-19 5.22615117e-19 0.00000000e+00
1.29905396e+02 4.70000000e-19 4.97349707e-19 0.00000000e+00
1.29992020e+02 4.70000000e-19 4.71953703e-19 0.00000000e+00
1.30078705e+02 4.70000000e-19 4.51364479e-19 0.00000000e+00
1.30165451e+02 4.70000000e-19 4.31503628e-19 0.00000000e+00
1.30252258e+02 3.72000000e-19 4.12903572e-19 0.00000000e+00
1.30339127e+02 3.72000000e-19 3.96148361e-19 0.00000000e+00
1.30426041e+02 3.72000000e-19 3.81826767e-19 0.00000000e+00
1.30513016e+02 3.72000000e-19 3.70470578e-19 0.00000000e+00
1.30600052e+02 3.72000000e-19 3.60078347e-19 0.00000000e+00
1.30687149e+02 3.46000000e-19 3.51185879e-19 0.00000000e+00
1.30774292e+02 3.46000000e-19 3.46305532e-19 0.00000000e+00
1.30861496e+02 3.46000000e-19 3.50697448e-19 0.00000000e+00
1.30948761e+02 3.46000000e-19 3.69818310e-19 0.00000000e+00
1.31036087e+02 4.17000000e-19 3.96740096e-19 0.00000000e+00
1.31123474e+02 4.17000000e-19 4.24178711e-19 0.00000000e+00
1.31210922e+02 4.17000000e-19 4.52893734e-19 0.00000000e+00
1.31298431e+02 4.17000000e-19 4.86210714e-19 0.00000000e+00
1.31385971e+02 5.91000000e-19 5.26070246e-19 0.00000000e+00
1.31473587e+02 5.91000000e-19 5.74454279e-19 0.00000000e+00
1.31561264e+02 5.91000000e-19 6.40478664e-19 0.00000000e+00
1.31649002e+02 5.91000000e-19 7.39429673e-19 0.00000000e+00
1.31736801e+02 1.09000000e-18 8.59204115e-19 0.00000000e+00
1.31824646e+02 1.09000000e-18 9.86053678e-19 0.00000000e+00
1.31912567e+02 1.09000000e-18 1.10656236e-18 0.00000000e+00
1.32000519e+02 1.09000000e-18 1.22829011e-18 0.00000000e+00
1.32088547e+02 1.09000000e-18 1.35643529e-18 0.00000000e+00
1.32176636e+02 1.78000000e-18 1.48555103e-18 0.00000000e+00
1.32264786e+02 1.78000000e-18 1.61018809e-18 0.00000000e+00
1.32352982e+02 1.78000000e-18 1.72485595e-18 0.00000000e+00
1.32441254e+02 1.78000000e-18 1.82653084e-18 0.00000000e+00
1.32529572e+02 1.78000000e-18 1.92698687e-18 0.00000000e+00
1.32617950e+02 1.78000000e-18 2.02560829e-18 0.00000000e+00
1.32706390e+02 2.34000000e-18 2.11867438e-18 0.00000000e+00
1.32794891e+02 2.34000000e-18 2.20244906e-18 0.00000000e+00
1.32883438e+02 2.34000000e-18 2.27316993e-18 0.00000000e+00
1.32972046e+02 2.34000000e-18 2.32708731e-18 0.00000000e+00
1.33060730e+02 2.34000000e-18 2.36556178e-18 0.00000000e+00
1.33149460e+02 2.34000000e-18 2.40118654e-18 0.00000000e+00
1.33238251e+02 2.34000000e-18 2.43274350e-18 0.00000000e+00
1.33327118e+02 2.48000000e-18 2.45793819e-18 0.00000000e+00
1.33416016e+02 2.48000000e-18 2.47445212e-18 0.00000000e+00
1.33504990e+02 2.48000000e-18 2.47997626e-18 0.00000000e+00
1.33594025e+02 2.48000000e-18 2.47257697e-18 0.00000000e+00
1.33683105e+02 2.48000000e-18 2.45567153e-18 0.00000000e+00
1.33772263e+02 2.40000000e-18 2.43467111e-18 0.00000000e+00
1.33861481e+02 2.40000000e-18 2.41501804e-18 0.00000000e+00
1.33950729e+02 2.40000000e-18 2.40217739e-18 0.00000000e+00
1.34040070e+02 2.40000000e-18 2.40243971e-18 0.00000000e+00
1.34129456e+02 2.40000000e-18 2.42468523e-18 0.00000000e+00
1.34218887e+02 2.40000000e-18 2.46834124e-18 0.00000000e+00
1.34308395e+02 2.72000000e-18 2.53122828e-18 0.00000000e+00
1.34397980e+02 2.72000000e-18 2.61115181e-18 0.00000000e+00
1.34487579e+02 2.72000000e-18 2.70583683e-18 0.00000000e+00
1.34577286e+02 2.72000000e-18 2.99174593e-18 0.00000000e+00
1.34667023e+02 2.72000000e-18 3.67009458e-18 0.00000000e+00
1.34756836e+02 2.72000000e-18 4.58042747e-18 0.00000000e+00
1.34846695e+02 7.21000000e-18 5.55596659e-18 0.00000000e+00
1.34936615e+02 7.21000000e-18 6.42972616e-18 0.00000000e+00
1.35026596e+02 7.21000000e-18 7.03389912e-18 0.00000000e+00
1.35116653e+02 7.21000000e-18 7.20903941e-18 0.00000000e+00
1.35206757e+02 7.21000000e-18 7.17662246e-18 0.00000000e+00
1.35296921e+02 7.21000000e-18 7.11719377e-18 0.00000000e+00
1.35387146e+02 7.02000000e-18 7.05683806e-18 0.00000000e+00
1.35477432e+02 7.02000000e-18 7.02174615e-18 0.00000000e+00
1.35567780e+02 7.02000000e-18 7.03126222e-18 0.00000000e+00
1.35658173e+02 7.02000000e-18 7.07959795e-18 0.00000000e+00
1.35748642e+02 7.02000000e-18 7.16298180e-18 0.00000000e+00
1.35839172e+02 7.55000000e-18 7.27806900e-18 0.00000000e+00
1.35929764e+02 7.55000000e-18 7.42150604e-18 0.00000000e+00
1.36020401e+02 7.55000000e-18 7.60214418e-18 0.00000000e+00
1.36111115e+02 8.55000000e-18 8.04803756e-18 0.00000000e+00
1.36201874e+02 8.55000000e-18 8.55869516e-18 0.00000000e+00
1.36292709e+02 8.55000000e-18 8.98185160e-18 0.00000000e+00
1.36383606e+02 8.55000000e-18 9.40523967e-18 0.00000000e+00
1.36474548e+02 8.55000000e-18 9.82392919e-18 0.00000000e+00
1.36565567e+02 8.55000000e-18 1.02331811e-17 0.00000000e+00
1.36656631e+02 1.19000000e-17 1.06279601e-17 0.00000000e+00
1.36747757e+02 1.19000000e-17 1.10034188e-17 0.00000000e+00
1.36838959e+02 1.19000000e-17 1.13546769e-17 0.00000000e+00
1.36930206e+02 1.19000000e-17 1.16766597e-17 0.00000000e+00
1.37021515e+02 1.19000000e-17 1.19642941e-17 0.00000000e+00
1.37112885e+02 1.19000000e-17 1.22139352e-17 0.00000000e+00
1.37204330e+02 1.29000000e-17 1.24374958e-17 0.00000000e+00
1.37295822e+02 1.29000000e-17 1.26505005e-17 0.00000000e+00
1.37387375e+02 1.29000000e-17 1.28686477e-17 0.00000000e+00
1.37479004e+02 1.29000000e-17 1.31164614e-17 0.00000000e+00
1.37570679e+02 1.29000000e-17 1.33898873e-17 0.00000000e+00
1.37662430e+02 1.39000000e-17 1.36456934e-17 0.00000000e+00
1.37754242e+02 1.39000000e-17 1.38399194e-17 0.00000000e+00
1.37846100e+02 1.39000000e-17 1.39433410e-17 0.00000000e+00
1.37938019e+02 1.39000000e-17 1.40180990e-17 0.00000000e+00
1.38029999e+02 1.39000000e-17 1.40798191e-17 0.00000000e+00
1.38122040e+02 1.39000000e-17 1.41314293e-17 0.00000000e+00
1.38214157e+02 1.43000000e-17 1.41758764e-17 0.00000000e+00
1.38306335e+02 1.43000000e-17 1.42161039e-17 0.00000000e+00
1.38398560e+02 1.43000000e-17 1.42550703e-17 0.00000000e+00
1.38490860e+02 1.43000000e-17 1.42957645e-17 0.00000000e+00
1.38583221e+02 1.43000000e-17 1.43366555e-17 0.00000000e+00
1.38675629e+02 1.43000000e-17 1.43735696e-17 0.00000000e+00
1.38768097e+02 1.45000000e-17 1.44084444e-17 0.00000000e+00
1.38860641e+02 1.45000000e-17 1.44432769e-17 0.00000000e+00
1.38953247e+02 1.45000000e-17 1.44800612e-17 0.00000000e+00
1.39045914e+02 1.45000000e-17 1.45209313e-17 0.00000000e+00
1.39138641e+02 1.45000000e-17 1.45673532e-17 0.00000000e+00
1.39231415e+02 1.45000000e-17 1.46180735e-17 0.00000000e+00
1.39324265e+02 1.45000000e-17 1.46715774e-17 0.00000000e+00
1.39417175e+02 1.45000000e-17 1.47263192e-17 0.00000000e+00
1.39510147e+02 1.50000000e-17 1.47807553e-17 0.00000000e+00
1.39603180e+02 1.50000000e-17 1.48333356e-17 0.00000000e+00
1.39696289e+02 1.50000000e-17 1.48825119e-17 0.00000000e+00
1.39789444e+02 1.50000000e-17 1.49267059e-17 0.00000000e+00
1.39882660e+02 1.50000000e-17 1.49643577e-17 0.00000000e+00
1.39975952e+02 1.50000000e-17 1.49938970e-17 0.00000000e+00
1.40069290e+02 1.50000000e-17 1.50159558e-17 0.00000000e+00
1.40162689e+02 1.50000000e-17 1.50354150e-17 0.00000000e+00
1.40256165e+02 1.50000000e-17 1.50526883e-17 0.00000000e+00
1.40349701e+02 1.51000000e-17 1.50679357e-17 0.00000000e+00
1.40443298e+02 1.51000000e-17 1.50813211e-17 0.00000000e+00
1.40536957e+02 1.51000000e-17 1.50930091e-17 0.00000000e+00
1.40630661e+02 1.51000000e-17 1.51031851e-17 0.00000000e+00
1.40724457e+02 1.51000000e-17 1.51122957e-17 0.00000000e+00
1.40818298e+02 1.51000000e-17 1.51205482e-17 0.00000000e+00
1.40912201e+02 1.51000000e-17 1.51280611e-17 0.00000000e+00
1.41006180e+02 1.51000000e-17 1.51349530e-17 0.00000000e+00
1.41100204e+02 1.51000000e-17 1.51413396e-17 0.00000000e+00
1.41194305e+02 1.51000000e-17 1.51473415e-17 0.00000000e+00
1.41288467e+02 1.51000000e-17 1.51530767e-17 0.00000000e+00
1.41382675e+02 1.52000000e-17 1.51586635e-17 0.00000000e+00
