# wavelength   photoabsorption photodissociation   photoionization
1.24978416e+02 6.20000000e-18 6.76041976e-18 0.00000000e+00
1.25061752e+02 6.20000000e-18 6.55668133e-18 0.00000000e+00
1.25145164e+02 6.20000000e-18 6.37651562e-18 0.00000000e+00
1.25228615e+02 6.20000000e-18 6.21962150e-18 0.00000000e+00
1.25312134e+02 6.20000000e-18 6.07785704e-18 0.00000000e+00
1.25395691e+02 6.20000000e-18 5.93884293e-18 0.00000000e+00
1.25479309e+02 6.20000000e-18 5.80313155e-18 0.00000000e+00
1.25562988e+02 6.20000000e-18 5.67151582e-18 0.00000000e+00
1.25646729e+02 6.20000000e-18 5.54479211e-18 0.00000000e+00
1.25730515e+02 6.20000000e-18 5.42377739e-18 0.00000000e+00
1.25814354e+02 6.20000000e-18 5.30927188e-18 0.00000000e+00
1.25898254e+02 6.20000000e-18 5.20206356e-18 0.00000000e+00
1.25982216e+02 4.70000000e-18 5.10296193e-18 0.00000000e+00
1.26066238e+02 4.70000000e-18 5.01277997e-18 0.00000000e+00
1.26150307e+02 4.70000000e-18 4.93234508e-18 0.00000000e+00
1.26234436e+02 4.70000000e-18 4.86246307e-18 0.00000000e+00
1.26318619e+02 4.70000000e-18 4.80396466e-18 0.00000000e+00
1.26402847e+02 4.70000000e-18 4.75767094e-18 0.00000000e+00
1.26487144e+02 4.70000000e-18 4.72439814e-18 0.00000000e+00
1.26571487e+02 4.70000000e-18 4.70499065e-18 0.00000000e+00
1.26655899e+02 4.70000000e-18 4.70010200e-18 0.00000000e+00
1.26740356e+02 4.70000000e-18 4.70398047e-18 0.00000000e+00
1.26824875e+02 4.70000000e-18 4.71321984e-18 0.00000000e+00
1.26909447e+02 4.70000000e-18 4.72746671e-18 0.00000000e+00
1.26994095e+02 4.70000000e-18 4.74637264e-18 0.00000000e+00
1.27078773e+02 4.70000000e-18 4.76957451e-18 0.00000000e+00
1.27163528e+02 4.70000000e-18 4.79672590e-18 0.00000000e+00
1.27248314e+02 5.10000000e-18 4.82745728e-18 0.00000000e+00
1.27333176e+02 5.10000000e-18 4.86142266e-18 0.00000000e+00
1.27418091e+02 5.10000000e-18 4.89825225e-18 0.00000000e+00
1.27503067e+02 5.10000000e-18 4.93758915e-18 0.00000000e+00
1.27588089e+02 5.10000000e-18 4.97906417e-18 0.00000000e+00
1.27673172e+02 5.10000000e-18 5.02231822e-18 0.00000000e+00
1.27758324e+02 5.10000000e-18 5.06699166e-18 0.00000000e+00
1.27843506e+02 5.10000000e-18 5.11383680e-18 0.00000000e+00
1.27928772e+02 5.10000000e-18 5.18212895e-18 0.00000000e+00
1.28014069e+02 5.10000000e-18 5.27438904e-18 0.00000000e+00
1.28099457e+02 5.10000000e-18 5.38481650e-18 0.00000000e+00
1.28184875e+02 5.10000000e-18 5.50752093e-18 0.00000000e+00
1.28270355e+02 5.10000000e-18 5.63663353e-18 0.00000000e+00
1.28355896e+02 6.20000000e-18 5.76622734e-18 0.00000000e+00
1.28441498e+02 6.20000000e-18 5.89038892e-18 0.00000000e+00
1.28527130e+02 6.20000000e-18 6.00314635e-18 0.00000000e+00
1.28612854e+02 6.20000000e-18 6.09855008e-18 0.00000000e+00
1.28698624e+02 6.20000000e-18 6.17056691e-18 0.00000000e+00
1.28784454e+02 6.20000000e-18 6.21480631e-18 0.00000000e+00
1.28870331e+02 6.20000000e-18 6.24346840e-18 0.00000000e+00
1.28956268e+02 6.20000000e-18 6.26364468e-18 0.00000000e+00
1.29042267e+02 6.20000000e-18 6.27941308e-18 0.00000000e+00
