@var: pct = 1.3065E-22*Tgas
@format:idx,R,R,R,P,P,P,rate
@photo_start
1,O2,,,O,O,,@xsecFile=LEIDEN
2,H2O,,,H,OH,,@xsecFile=LEIDEN
3,O3,,,O2,O,,@xsecFile=LEIDEN
4,H2O2,,,OH,OH,,@xsecFile=LEIDEN
5,CO2,,,CO,O,,@xsecFile=LEIDEN
6,CO2,,,C,O2,,@xsecFile=LEIDEN
7,HCHO,,,H2,CO,,@xsecFile=LEIDEN
8,HCHO,,,CHO,H,,@xsecFile=LEIDEN
9,HCHO,,,CO,H,H,@xsecFile=LEIDEN
10,CHO,,,H,CO,,@xsecFile=LEIDEN
11,HO2,,,OH,O,,@xsecFile=LEIDEN
12,HO2,,,H,O2,,@xsecFile=LEIDEN
13,CH4O2,,,CH3O,OH,,@xsecFile=LEIDEN
14,N2O,,,N2,O,,@xsecFile=LEIDEN
15,HNO2,,,NO,OH,,@xsecFile=LEIDEN
16,HNO3,,,NO2,OH,,@xsecFile=LEIDEN
17,NO,,,N,O,,@xsecFile=LEIDEN
18,NO2,,,NO,O,,@xsecFile=LEIDEN
19,HNO4,,,HO2,NO2,,@xsecFile=LEIDEN
20,HNO4,,,OH,NO3,,@xsecFile=LEIDEN
21,NO3,,,NO2,O,,@xsecFile=LEIDEN
22,NO3,,,NO,O2,,@xsecFile=LEIDEN
23,N2O5,,,NO2,NO3,,@xsecFile=LEIDEN
24,N2O5,,,NO2,NO2,O,@xsecFile=LEIDEN
25,SO,,,S,O,,@xsecFile=LEIDEN
26,SO2,,,SO,O,,@xsecFile=LEIDEN
27,H2S,,,SH,H,,@xsecFile=LEIDEN
28,SO2,,,S,O2,,@xsecFile=LEIDEN
29,H2SO4,,,SO2,OH,OH,@xsecFile=LEIDEN
30,SO3,,,SO2,O,,@xsecFile=LEIDEN
31,HSO,,,SH,O,,@xsecFile=LEIDEN
32,CH4,,,CH2_SING,H2,,@xsecFile=LEIDEN
33,CH4,,,CH3,H,,@xsecFile=LEIDEN
34,CH4,,,CH2,H,H,@xsecFile=LEIDEN
35,CH4,,,CH,H2,H,@xsecFile=LEIDEN
36,O2,,,O,O_1D,,@xsecFile=LEIDEN
37,O3,,,O2,O_1D,,@xsecFile=LEIDEN
38,CO2,,,CO,O_1D,,@xsecFile=LEIDEN
39,N2O,,,N2,O_1D,,@xsecFile=LEIDEN
40,NO2,,,NO,O_1D,,@xsecFile=LEIDEN
@photo_stop
41,SO2,,,SO2_SING,,,9.66E-04
42,SO2,,,SO2_TRIP,,,8.84E-07
43,SO2_SING,,,SO2_TRIP,,,1.5E+3
44,SO2_SING,,,SO2,,,2.2E+4
45,SO2_TRIP,,,SO2,,,1.13E+3
46,O_1D,CO2,,O,CO2,,7.41E-11*EXP(120./Tgas)
47,O_1D,N2,,O,N2,,1.8E-11*EXP(110./Tgas)
48,O_1D,O2,,O,O2,,3.2E-11*EXP(70./Tgas)
49,H2O,O_1D,,OH,OH,,2.62E-10*EXP(65./Tgas)
50,H2,O_1D,,OH,H,,1.10E-10
51,CH4,O_1D,,CH3,OH,,1.13E-10
52,CH4,O_1D,,CH2O,H2,,7.51E-12
53,N2O,O_1D,,NO,NO,,6.7E-11
54,N2O,O_1D,,N2,O2,,4.9E-11
55,N2,O_1D,,N2O,,,3.5E-37*(Tgas/298.)**(-0.60e+00)
56,CH2_SING,CH4,,CH3,CH3,,5.9E-11
57,CH2_SING,O2,,CH2O,O,,6.64E-14
58,CH2_SING,N2,,CH2_TRIP,N2,,8.8E-12
59,CH2_TRIP,H2,,CH3,H,,5.E-15
60,CH2_TRIP,CH4,,CH3,CH3,,7.1E-12*EXP(-5051./Tgas)
61,CH2_TRIP,O2,,CH2O,O,,6.64E-14
62,SO2_SING,M,,SO2_TRIP,M,,1.0E-12
63,SO2_SING,M,,SO2,M,,1.0E-11
64,SO2_SING,O2,,SO3,O,,1.0E-16
65,SO2_SING,SO2,,SO3,SO,,4.0E-12
66,SO2_TRIP,M,,SO2,M,,1.5E-13
