@var: pct = 1.3065E-22*Tgas
@format:idx,R,R,R,P,P,P,rate
@photo_start
1,O2,,,O,O,,@xsecFile=LEIDEN
2,H2O,,,H,OH,,@xsecFile=LEIDEN
3,O3,,,O2,O,,@xsecFile=LEIDEN
4,H2O2,,,OH,OH,,@xsecFile=LEIDEN
5,CO2,,,CO,O,,@xsecFile=LEIDEN
6,CO2,,,C,O2,,@xsecFile=LEIDEN
7,HCHO,,,H2,CO,,@xsecFile=LEIDEN
8,HCHO,,,CHO,H,,@xsecFile=LEIDEN
9,HCHO,,,CO,H,H,@xsecFile=LEIDEN
10,CHO,,,H,CO,,@xsecFile=LEIDEN
11,HO2,,,OH,O,,@xsecFile=LEIDEN
12,HO2,,,H,O2,,@xsecFile=LEIDEN
13,CH4O2,,,CH3O,OH,,@xsecFile=LEIDEN
14,N2O,,,N2,O,,@xsecFile=LEIDEN
15,HNO2,,,NO,OH,,@xsecFile=LEIDEN
16,HNO3,,,NO2,OH,,@xsecFile=LEIDEN
17,NO,,,N,O,,@xsecFile=LEIDEN
18,NO2,,,NO,O,,@xsecFile=LEIDEN
19,HNO4,,,HO2,NO2,,@xsecFile=LEIDEN
20,HNO4,,,OH,NO3,,@xsecFile=LEIDEN
21,NO3,,,NO2,O,,@xsecFile=LEIDEN
22,NO3,,,NO,O2,,@xsecFile=LEIDEN
23,N2O5,,,NO2,NO3,,@xsecFile=LEIDEN
24,N2O5,,,NO2,NO2,O,@xsecFile=LEIDEN
25,SO,,,S,O,,@xsecFile=LEIDEN
26,SO2,,,SO,O,,@xsecFile=LEIDEN
27,H2S,,,SH,H,,@xsecFile=LEIDEN
28,SO2,,,S,O2,,@xsecFile=LEIDEN
29,H2SO4,,,SO2,OH,OH,@xsecFile=LEIDEN
30,SO3,,,SO2,O,,@xsecFile=LEIDEN
31,HSO,,,SH,O,,@xsecFile=LEIDEN
32,CH4,,,CH2_SING,H2,,@xsecFile=LEIDEN
33,CH4,,,CH3,H,,@xsecFile=LEIDEN
34,CH4,,,CH2,H,H,@xsecFile=LEIDEN
35,CH4,,,CH,H2,H,@xsecFile=LEIDEN
36,O2,,,O,O_1D,,@xsecFile=LEIDEN
37,O3,,,O2,O_1D,,@xsecFile=LEIDEN
38,CO2,,,CO,O_1D,,@xsecFile=LEIDEN
39,N2O,,,N2,O_1D,,@xsecFile=LEIDEN
40,NO2,,,NO,O_1D,,@xsecFile=LEIDEN
41,CH3SCH3,,,CH3S,CH3,,@xsecFile=LEIDEN
42,CO,,,C,O,,@xsecFile=LEIDEN
43,H2,,,H,H,,@xsecFile=LEIDEN
44,OH,,,H,O,,@xsecFile=LEIDEN
45,SH,,,H,S,,@xsecFile=LEIDEN
46,S2,,,S,S,,@xsecFile=LEIDEN
47,CS,,,C,S,,@xsecFile=LEIDEN
48,CH2,,,CH,H,,@xsecFile=LEIDEN
49,H2CS,,,H2,CS,,@xsecFile=LEIDEN
50,H2O,,,H2,O_1D,,@xsecFile=LEIDEN
51,H2O,,,H,H,O,@xsecFile=SWRI
52,C2H2,,,C2H,H,,@xsecFile=SWRI
53,C2H4,,,C2H2,H2,,@xsecFile=SWRI
54,C2H4,,,C2H2,H,H,@xsecFile=LEIDEN
55,C2H6,,,C2H4,H2,,@xsecFile=SWRI
56,C2H6,,,CH4,CH2_SING,,@xsecFile=LEIDEN
57,C2H6,,,CH3,CH3,,@xsecFile=SWRI
58,CH3OH,,,CH3,OH,,@xsecFile=SWRI
59,CH3OH,,,H2CO,H2,,@xsecFile=SWRI
60,CH3CHO,,,CH4,CO,,@xsecFile=SWRI
61,CH3CHO,,,CH3,HCO,,@xsecFile=SWRI
62,N2,,,N,N,,@xsecFile=SWRI
63,NH3,,,NH2,H,,@xsecFile=SWRI
64,NH3,,,NH,H,H,@xsecFile=SWRI
65,HCN,,,H,CN,,@xsecFile=LEIDEN
66,HNCO,,,NH,CO,,@xsecFile=SWRI
67,HNCO,,,H,NCO,,@xsecFile=SWRI
68,OCS,,,CO,S,,@xsecFile=SWRI
