 *********************************************************************************
   Plane-parallel Cool-MARCS (=MSG) model for Teff =   60. K, log(g) = 3.0
 *********************************************************************************

The model is computed in 74 layers from log_10(tau_ross)= -2.70 to  4.60
 This model has the elemental abundances of the general type K2_18 CNOS x200
meaning that at a scale where epsilon(H) = log(H)=12, epsilon(elm) included:
 12.00 10.9310.7910.0811.04 6.24 7.57 6.47 7.51 5.12 6.38 4.99 4.00 7.42 2.58
  H     He    C    N    O    Na   Mg   Al   Si   K    Ca   Ti   V    Fe   Zr  
The model used 126 molecules/atoms in the opacity computation. They were:
 SO2  TiH  CO2  OH   CrH  CH   AlCl ZrO  PO   NaCl SiS  NO   LiF  HCN  C3   C2H2 MgH  TiO 
 CaH  SiO  LiCl PH3  H2   C2   KCl  HCl  CP   LiH  NaH  AlF  FeH  BeH  MgF  CaF  CH4  CO  
 CN   H2CO NH3  AlO  VO   SiH  PN   CS   KF   H2O  PS   SN   AlH  NaF  HS   NH   Al   Be  
 Ca   Cl   C    Cr   Fe   F    K    Li   Mg   Na   N    O    P    Si   S    Ti   V    Zr  
 O2   O3   CH3S OCS  N2O  CH3  SO3  H2O2 HNO3 H2S  C2H6 C4H2 CH2O CH3C CH3O CS2  HC3N HO2 
 HNO2 NO2  N2   S2   SO   C2H  C2H3 C2H5 C3H3 CH2  CH3C CH3N CH3S HCO  HNC  HNCO NH2  HNO4
 N2O5 NO3  CH2N H2SO S4   C3H6 C4H4 C6H6 N2H4 C2H3 C2H5 CH3S C3H4 C4H8 C2H6 C4H6 H2CS C2H4
The OS cross sections (cm2/molecule) were read into  7949 wavenumbers between
 400.0 and 80000.0 cm-1 (= 0.125 to  25. mu). We used only each 10th in the radiative transfer
 of this model, resulting in a (statistical spectral) OS-resolution of 1500.0

Convection was computed based on the parameter choice:
palfa, pbeta, pny, py = 1.5 0.0 8.0 0.076
(but convection was apriori considered irelevant for the uppermost  1 layers)

The model takes irradiation into account, based on the parameters:
  Irradiation redistribution factor:  4.000
  Irradiation source: input spectrum (data/stellar_spectrum.dat, scaling = 1.000E+00)
  Stellar radius:    0.47 solar radii
  Semi-major axis:   0.159 AU
   Planet/BD type: gas planet, brown dwarf,
  or star (no reflecting lower boundary)

Chemistry:
 Disequilibirum Status: ON
  Photochemistry: ON (scaling = 0.000E+00)
   Initial abundances: from krome_init_abund.dat
  Convergence criterion:  1.000E-08
  Time integration: dt_start= 1.00E-16  dt_max= 1.00E+02  t_max= 1.00E+03  dt_inc= 5.00
  I/O flags: krome_output= 1  krome_debug= 1  krome_return= 1
 Cloud model: OFF

The convergence criterium was delta(T)= 0.5 K and temp. corr. in the last iteration was 0.00 K


 Technical settings:
dpein,dtin,method-pe,inz.K=12,kort,kpi,mihal,lops,nops: 0.005 0.005 2 4.339eV 5  0  1 0  1
 (listed Pe is from GGchem; Pe for converg. in colm Pturb)

 *********************************************************************************




 C O R R E C T I O N S  I N  T H E  L A S T  I T E R A T I O N
 K LOG(TauR)  TAUROSS      T       DELTA(T)     FCONV    DELTA(FCONV)  K
  1  -2.70   2.00E-03     270.69       0.65   0.000E+00    0.00E+00    1
  2  -2.60   2.51E-03     271.47       0.67   0.000E+00    0.00E+00    2
  3  -2.50   3.16E-03     272.32       0.69   0.000E+00    0.00E+00    3
  4  -2.40   3.98E-03     273.26       0.72   0.000E+00    0.00E+00    4
  5  -2.30   5.01E-03     274.30       0.75   0.000E+00    0.00E+00    5
  6  -2.20   6.31E-03     275.39       0.78   0.000E+00    0.00E+00    6
  7  -2.10   7.94E-03     276.24       0.78   0.000E+00    0.00E+00    7
  8  -2.00   1.00E-02     276.83       0.77   0.000E+00    0.00E+00    8
  9  -1.90   1.26E-02     277.41       0.78   0.000E+00    0.00E+00    9
 10  -1.80   1.58E-02     278.05       0.80   0.000E+00    0.00E+00   10
 11  -1.70   2.00E-02     278.75       0.83   0.000E+00    0.00E+00   11
 12  -1.60   2.51E-02     279.42       0.86   0.000E+00    0.00E+00   12
 13  -1.50   3.16E-02     279.96       0.89   0.000E+00    0.00E+00   13
 14  -1.40   3.98E-02     280.31       0.92   0.000E+00    0.00E+00   14
 15  -1.30   5.01E-02     280.42       0.95   0.000E+00    0.00E+00   15
 16  -1.20   6.31E-02     280.33       0.98   0.000E+00    0.00E+00   16
 17  -1.10   7.94E-02     280.07       1.02   0.000E+00    0.00E+00   17
 18  -1.00   1.00E-01     279.67       1.06   0.000E+00    0.00E+00   18
 19  -0.90   1.26E-01     279.16       1.12   0.000E+00    0.00E+00   19
 20  -0.80   1.58E-01     278.55       1.18   0.000E+00    0.00E+00   20
 21  -0.70   2.00E-01     277.86       1.26   0.000E+00    0.00E+00   21
 22  -0.60   2.51E-01     277.10       1.35   0.000E+00    0.00E+00   22
 23  -0.50   3.16E-01     276.28       1.46   0.000E+00    0.00E+00   23
 24  -0.40   3.98E-01     275.35       1.56   0.000E+00    0.00E+00   24
 25  -0.30   5.01E-01     274.29       1.56   0.000E+00    0.00E+00   25
 26  -0.20   6.31E-01     272.92       1.56   0.000E+00    0.00E+00   26
 27  -0.10   7.94E-01     271.31       1.56   0.000E+00    0.00E+00   27
 28   0.00   1.00E+00     269.44       1.56   0.000E+00    0.00E+00   28
 29   0.10   1.26E+00     267.23       1.56   0.000E+00    0.00E+00   29
 30   0.20   1.58E+00     264.88       1.56   0.000E+00    0.00E+00   30
 31   0.30   2.00E+00     262.00       1.56   0.000E+00    0.00E+00   31
 32   0.40   2.51E+00     258.64       1.56   0.000E+00    0.00E+00   32
 33   0.50   3.16E+00     255.60       1.56   0.000E+00    0.00E+00   33
 34   0.60   3.98E+00     254.31       1.56   0.000E+00    0.00E+00   34
 35   0.70   5.01E+00     255.56       1.56   0.000E+00    0.00E+00   35
 36   0.80   6.31E+00     259.64       1.56   0.000E+00    0.00E+00   36
 37   0.90   7.94E+00     264.95       1.56   0.000E+00    0.00E+00   37
 38   1.00   1.00E+01     271.38       1.56   0.000E+00    0.00E+00   38
 39   1.10   1.26E+01     279.07       1.44   0.000E+00    0.00E+00   39
 40   1.20   1.58E+01     288.46       1.36   0.000E+00    0.00E+00   40
 41   1.30   2.00E+01     299.93       1.28   0.000E+00    0.00E+00   41
 42   1.40   2.51E+01     312.93       1.21   0.000E+00    0.00E+00   42
 43   1.50   3.16E+01     326.97       1.32   0.000E+00    0.00E+00   43
 44   1.60   3.98E+01     342.98       1.56   0.000E+00    0.00E+00   44
 45   1.70   5.01E+01     360.75       1.56   0.000E+00    0.00E+00   45
 46   1.80   6.31E+01     379.01       1.56   0.000E+00    0.00E+00   46
 47   1.90   7.94E+01     397.83       1.56   5.968E+09    0.00E+00   47
 48   2.00   1.00E+02     415.74       1.11   3.529E+09   -1.60E+10   48
 49   2.10   1.26E+02     428.43       0.69   4.178E+08   -4.38E+09   49
 50   2.20   1.58E+02     440.32       0.79   3.188E+08   -2.08E+08   50
 51   2.30   2.00E+02     452.51       0.54   5.085E+08   -3.03E+09   51
 52   2.40   2.51E+02     465.05       0.06   3.993E+08   -6.27E+09   52
 53   2.50   3.16E+02     477.59       0.17   4.794E+09   -3.81E+08   53
 54   2.60   3.98E+02     498.73      -1.56   1.091E+11   -1.85E+11   54
 55   2.70   5.01E+02     510.75      -1.56   3.530E+09   -2.79E+09   55
 56   2.80   6.31E+02     523.15      -1.56   1.126E+10   -3.96E+09   56
 57   2.90   7.94E+02     535.82      -1.56   3.853E+10   -3.55E+09   57
 58   3.00   1.00E+03     552.60      -1.56   7.986E+10   -6.74E+09   58
 59   3.10   1.26E+03     566.93      -1.56   3.606E+10   -2.88E+09   59
 60   3.20   1.58E+03     581.07      -1.56   4.485E+10   -1.67E+09   60
 61   3.30   2.00E+03     598.45      -1.56   4.277E+10   -4.43E+08   61
 62   3.40   2.51E+03     613.99      -1.56   2.213E+10   -9.47E+08   62
 63   3.50   3.16E+03     630.65      -1.56   3.179E+10   -2.14E+09   63
 64   3.60   3.98E+03     648.03      -1.56   2.299E+10   -1.87E+09   64
 65   3.70   5.01E+03     664.34      -1.56   3.737E+10   -1.34E+09   65
 66   3.80   6.31E+03     685.21      -1.56   1.475E+11   -3.75E+09   66
 67   3.90   7.94E+03     705.28      -1.56   1.364E+11   -3.09E+09   67
 68   4.00   1.00E+04     724.66      -1.56   1.373E+11    2.65E+08   68
 69   4.10   1.26E+04     745.16      -1.56   1.253E+11    2.46E+09   69
 70   4.20   1.58E+04     765.26      -1.56   7.824E+10    2.69E+09   70
 71   4.30   2.00E+04     786.19      -1.56   5.935E+10    3.59E+09   71
 72   4.40   2.51E+04     809.40      -1.56   5.671E+10    4.12E+09   72
 73   4.50   3.16E+04     835.19      -1.56   6.856E+10    4.19E+09   73
 74   4.60   3.98E+04     864.97      -1.56   7.355E+02    5.51E+09   74


 M O D E L  A T M O S P H E R E   (CGS UNITS)
    K    TAUROSS   TAU(5000)  GEOM. DEPTH     T        PE          PG         PRAD        PTURB     KAPPAROSS     K
